IterationsTotal Loss      PSNR
 100  0.00274466 25.61511784
  200  0.00135711 28.67384229
  300  0.00098346 30.07241554
  400  0.00083593 30.77832614
  500  0.00060736 32.16556622
  600  0.00053220 32.73927155
  700  0.00040516 33.92377475
  800  0.00045960 33.37619838
  900  0.00035365 34.51426466
 1000  0.00035337 34.51774143
 1100  0.00027374 35.62667768
 1200  0.00029550 35.29443928
 1300  0.00023951 36.20670003
 1400  0.00038781 34.11377912
 1500  0.00026052 35.84154598
 1600  0.00021390 36.69791612
 1700  0.00017391 37.59664560
 1800  0.00028080 35.51599555
 1900  0.00016929 37.71377077
 2000  0.00023493 36.29068261
 2100  0.00022503 36.47768570
 2200  0.00014244 38.46366984
 2300  0.00012489 39.03489648
 2400  0.00014059 38.52039091
 2500  0.00019120 37.18507800
 2600  0.00015953 37.97154339
 2700  0.00013196 38.79543666
 2800  0.00012994 38.86243829
 2900  0.00011918 39.23788498
 3000  0.00010186 39.91983902
 3100  0.00009207 40.35870232
 3200  0.00016035 37.94941733
 3300  0.00012937 38.88155086
 3400  0.00010768 39.67846081
 3500  0.00009686 40.13875285
 3600  0.00013604 38.66338679
 3700  0.00011926 39.23500161
 3800  0.00007741 41.11216598
 3900  0.00013645 38.65014587
 4000  0.00008282 40.81838735
 4100  0.00007098 41.48880557
 4200  0.00007613 41.18423460
 4300  0.00009118 40.40086662
 4400  0.00009586 40.18359875
 4500  0.00010005 39.99776801
 4600  0.00019483 37.10334607
 4700  0.00007385 41.31648021
 4800  0.00006716 41.72894937
 4900  0.00006490 41.87741160
 5000  0.00007316 41.35731916
 5100  0.00011500 39.39320540
 5200  0.00008366 40.77459144
 5300  0.00005162 42.87169732
 5400  0.00007071 41.50526561
 5500  0.00010407 39.82686226
 5600  0.00008537 40.68708555
 5700  0.00006404 41.93567916
 5800  0.00008690 40.61000975
 5900  0.00012646 38.98035237
 6000  0.00005185 42.85240706
 6100  0.00009764 40.10381368
 6200  0.00004423 43.54323758
 6300  0.00006203 42.07426809
 6400  0.00007068 41.50692465
 6500  0.00004093 43.87948969
 6600  0.00006078 42.16263982
 6700  0.00005409 42.66904511
 6800  0.00004293 43.67242686
 6900  0.00005729 42.41914003
 7000  0.00007652 41.16245081
 7100  0.00003788 44.21536746
 7200  0.00004807 43.18138804
 7300  0.00010748 39.68661169
 7400  0.00003861 44.13303201
 7500  0.00003748 44.26234650
 7600  0.00016371 37.85934939
 7700  0.00003810 44.19070583
 7800  0.00003848 44.14759751
 7900  0.00005246 42.80142352
 8000  0.00006304 42.00386056
 8100  0.00007280 41.37845679
 8200  0.00006548 41.83884627
 8300  0.00005440 42.64394235
 8400  0.00005975 42.23684170
 8500  0.00004204 43.76308709
 8600  0.00003977 44.00450015
 8700  0.00008326 40.79575873
 8800  0.00005555 42.55293282
 8900  0.00005193 42.84577840
 9000  0.00002688 45.70528356
 9100  0.00005176 42.86020989
 9200  0.00003488 44.57372029
 9300  0.00010893 39.62849913
 9400  0.00003120 45.05842069
 9500  0.00003295 44.82142404
 9600  0.00002778 45.56205240
 9700  0.00002483 46.05082928
 9800  0.00004490 43.47713114
 9900  0.00005977 42.23524785
10000  0.00002150 46.67468993
