Iterations                    Total Loss
100                             0.010029
200                             0.004798
300                             0.003684
400                             0.002848
500                             0.002357
600                             0.002129
700                             0.001995
800                             0.001741
900                             0.001618
1000                            0.001573
1100                            0.001416
1200                            0.001354
1300                            0.001279
1400                            0.001245
1500                            0.001218
1600                            0.001160
1700                            0.001138
1800                            0.001092
1900                            0.001084
2000                            0.001044
2100                            0.001062
2200                            0.001019
2300                            0.000981
2400                            0.001051
2500                            0.000998
2600                            0.000977
2700                            0.000953
2800                            0.000917
2900                            0.000903
3000                            0.000910
3100                            0.000943
3200                            0.000928
3300                            0.000876
3400                            0.000862
3500                            0.000887
3600                            0.000892
3700                            0.000866
3800                            0.000842
3900                            0.000849
4000                            0.000834
4100                            0.000836
4200                            0.000839
4300                            0.000817
4400                            0.000804
4500                            0.000786
4600                            0.000807
4700                            0.000801
4800                            0.000791
4900                            0.000781
5000                            0.000803
5100                            0.000762
5200                            0.000779
5300                            0.000756
5400                            0.000781
5500                            0.000769
5600                            0.000750
5700                            0.000748
5800                            0.000742
5900                            0.000783
6000                            0.000754
6100                            0.000754
6200                            0.000752
6300                            0.000750
6400                            0.000744
6500                            0.000749
6600                            0.000722
6700                            0.000727
6800                            0.000715
6900                            0.000731
7000                            0.000717
7100                            0.000733
7200                            0.000719
7300                            0.000717
7400                            0.000725
7500                            0.000725
7600                            0.000719
7700                            0.000714
7800                            0.000699
7900                            0.000701
8000                            0.000686
8100                            0.000711
8200                            0.000690
8300                            0.000705
8400                            0.000697
8500                            0.000683
8600                            0.000681
8700                            0.000678
8800                            0.000686
8900                            0.000680
9000                            0.000663
9100                            0.000679
9200                            0.000657
9300                            0.000660
9400                            0.000676
9500                            0.000660
9600                            0.000657
9700                            0.000660
9800                            0.000664
9900                            0.000654
10000                           0.000678
