IterationsTotal Loss      PSNR
 100  0.00195090 27.09764478
  200  0.00147679 28.30682353
  300  0.00054523 32.63423852
  400  0.00047528 33.23047466
  500  0.00039565 34.02690656
  600  0.00034325 34.64385664
  700  0.00037488 34.26105096
  800  0.00028560 35.44242928
  900  0.00026183 35.81985319
 1000  0.00024052 36.18855500
 1100  0.00028197 35.49792037
 1200  0.00021875 36.60042136
 1300  0.00021246 36.72726550
 1400  0.00019508 37.09777189
 1500  0.00020900 36.79844084
 1600  0.00029138 35.35543874
 1700  0.00016429 37.84391252
 1800  0.00026644 35.74396543
 1900  0.00017523 37.56402780
 2000  0.00014990 38.24200692
 2100  0.00016505 37.82376666
 2200  0.00018676 37.28707955
 2300  0.00019538 37.09117519
 2400  0.00015539 38.08573588
 2500  0.00012149 39.15467288
 2600  0.00011462 39.40742915
 2700  0.00011496 39.39436603
 2800  0.00011856 39.26078307
 2900  0.00010784 39.67226680
 3000  0.00013212 38.79029489
 3100  0.00009612 40.17187593
 3200  0.00010223 39.90419244
 3300  0.00009239 40.34371320
 3400  0.00009007 40.45433569
 3500  0.00008906 40.50341452
 3600  0.00011723 39.30964450
 3700  0.00009355 40.28933847
 3800  0.00008389 40.76311492
 3900  0.00008109 40.91008499
 4000  0.00007931 41.00686837
 4100  0.00007265 41.38788668
 4200  0.00010681 39.71392843
 4300  0.00009062 40.42759123
 4400  0.00011859 39.25959586
 4500  0.00007062 41.51074116
 4600  0.00007954 40.99426520
 4700  0.00009784 40.09490149
 4800  0.00006083 42.15912960
 4900  0.00006800 41.67495573
 5000  0.00007503 41.24764458
 5100  0.00011088 39.55139402
 5200  0.00005917 42.27866222
 5300  0.00006335 41.98227547
 5400  0.00007147 41.45862747
 5500  0.00007565 41.21177672
 5600  0.00009497 40.22402718
 5700  0.00008110 40.90984050
 5800  0.00007065 41.50917095
 5900  0.00006404 41.93578077
 6000  0.00008576 40.66694732
 6100  0.00012541 39.01682215
 6200  0.00004931 43.07073500
 6300  0.00009506 40.21987409
 6400  0.00007722 41.12254234
 6500  0.00005451 42.63540117
 6600  0.00005055 42.96304008
 6700  0.00005852 42.32666609
 6800  0.00005194 42.84529721
 6900  0.00004939 43.06374814
 7000  0.00007438 41.28568722
 7100  0.00005388 42.68532671
 7200  0.00007274 41.38251673
 7300  0.00003863 44.13058530
 7400  0.00006281 42.01943886
 7500  0.00003915 44.07315036
 7600  0.00006459 41.89857666
 7700  0.00177378 27.51100107
 7800  0.00072569 31.39249570
 7900  0.00051458 32.88550182
 8000  0.00043416 33.62346382
 8100  0.00039323 34.05354496
 8200  0.00036682 34.35544454
 8300  0.00033253 34.78174465
 8400  0.00032138 34.92976850
 8500  0.00029847 35.25103883
 8600  0.00029441 35.31054090
 8700  0.00027574 35.59501657
 8800  0.00027062 35.67635284
 8900  0.00028917 35.38846057
 9000  0.00033019 34.81232399
 9100  0.00024741 36.06590211
 9200  0.00021759 36.62353452
 9300  0.00021670 36.64143517
 9400  0.00022092 36.55764796
 9500  0.00022417 36.49427659
 9600  0.00019385 37.12538059
 9700  0.00019059 37.19901280
 9800  0.00021337 36.70875813
 9900  0.00018417 37.34783198
