IterationsTotal Loss      PSNR
 100  0.01363383 18.65382246
  200  0.00497079 23.03574888
  300  0.00355917 24.48651004
  400  0.00269141 25.70019831
  500  0.00209569 26.78673949
  600  0.00183744 27.35787396
  700  0.00149642 28.24945667
  800  0.00138001 28.60116549
  900  0.00125703 29.00654370
 1000  0.00114858 29.39839238
 1100  0.00102625 29.88748137
 1200  0.00096879 30.13768482
 1300  0.00095058 30.22012731
 1400  0.00089080 30.50219117
 1500  0.00087230 30.59331806
 1600  0.00079649 30.98818475
 1700  0.00074172 31.29758672
 1800  0.00070583 31.51301273
 1900  0.00075342 31.22965560
 2000  0.00067910 31.68064548
 2100  0.00068809 31.62357311
 2200  0.00063625 31.96372111
 2300  0.00064407 31.91064833
 2400  0.00061390 32.11903023
 2500  0.00062126 32.06724422
 2600  0.00060249 32.20048905
 2700  0.00058239 32.34783091
 2800  0.00054540 32.63288646
 2900  0.00055141 32.58526052
 3000  0.00054712 32.61916835
 3100  0.00053527 32.71425609
 3200  0.00055063 32.59137194
 3300  0.00052221 32.82151991
 3400  0.00050332 32.98152610
 3500  0.00052202 32.82311195
 3600  0.00052576 32.79212500
 3700  0.00050812 32.94037505
 3800  0.00046831 33.29462137
 3900  0.00048263 33.16383305
 4000  0.00048615 33.13234021
 4100  0.00046752 33.30195783
 4200  0.00046518 33.32374980
 4300  0.00045919 33.38006244
 4400  0.00045433 33.42628708
 4500  0.00044606 33.50604774
 4600  0.00044841 33.48328366
 4700  0.00046367 33.33791745
 4800  0.00045357 33.43353742
 4900  0.00043687 33.59647272
 5000  0.00044033 33.56225689
 5100  0.00042734 33.69230063
 5200  0.00041982 33.76939599
 5300  0.00042565 33.70948162
 5400  0.00043694 33.59582041
 5500  0.00040748 33.89893484
 5600  0.00041926 33.77521211
 5700  0.00041940 33.77366471
 5800  0.00042742 33.69147395
 5900  0.00041093 33.86236076
 6000  0.00040329 33.94387111
 6100  0.00041180 33.85314950
 6200  0.00040691 33.90500642
 6300  0.00040954 33.87703187
 6400  0.00039946 33.98523557
 6500  0.00039410 34.04388725
 6600  0.00038559 34.13872144
 6700  0.00039539 34.02976985
 6800  0.00038238 34.17501707
 6900  0.00038675 34.12568920
 7000  0.00038272 34.17116337
 7100  0.00038692 34.12375060
 7200  0.00038182 34.18136905
 7300  0.00038733 34.11918941
 7400  0.00038612 34.13274361
 7500  0.00038225 34.17651528
 7600  0.00037679 34.23904675
 7700  0.00036737 34.34897966
 7800  0.00039352 34.05029078
 7900  0.00037093 34.30703028
 8000  0.00036264 34.40528198
 8100  0.00041507 33.81875354
 8200  0.00036422 34.38632283
 8300  0.00039471 34.03723899
 8400  0.00036824 34.33871695
 8500  0.00038170 34.18273334
 8600  0.00041607 33.80832542
 8700  0.00037419 34.26912788
 8800  0.00035792 34.46217737
 8900  0.00036392 34.38999222
 9000  0.00035097 34.54725283
 9100  0.00035574 34.48872011
 9200  0.00040569 33.91808419
 9300  0.00035250 34.52837029
 9400  0.00035110 34.54571015
 9500  0.00038660 34.12736354
 9600  0.00035308 34.52129569
 9700  0.00034619 34.60682388
 9800  0.00033718 34.72142790
 9900  0.00034713 34.59513647
10000  0.00034201 34.65966122
