IterationsTotal Loss      PSNR
 100  0.00197416 27.04617975
  200  0.00092118 30.35656305
  300  0.00064995 31.87117512
  400  0.00055661 32.54452818
  500  0.00039139 34.07385308
  600  0.00040086 33.97001990
  700  0.00034310 34.64578264
  800  0.00048468 33.14541639
  900  0.00026838 35.71242195
 1000  0.00024830 36.05015696
 1100  0.00023647 36.26220950
 1200  0.00025043 36.01313920
 1300  0.00039018 34.08731050
 1400  0.00019830 37.02686905
 1500  0.00019159 37.17616290
 1600  0.00021705 36.63445191
 1700  0.00017665 37.52898225
 1800  0.00016557 37.81025679
 1900  0.00019651 37.06614830
 2000  0.00016149 37.91859699
 2100  0.00016279 37.88382461
 2200  0.00014402 38.41565430
 2300  0.00014063 38.51910359
 2400  0.00015765 38.02303858
 2500  0.00014466 38.39657174
 2600  0.00013885 38.57439819
 2700  0.00012433 39.05433567
 2800  0.00011639 39.34077733
 2900  0.00012501 39.03069485
 3000  0.00011343 39.45267124
 3100  0.00011305 39.46733898
 3200  0.00011842 39.26570200
 3300  0.00014619 38.35079750
 3400  0.00016928 37.71385297
 3500  0.00017715 37.51660882
 3600  0.00015152 38.19539339
 3700  0.00010653 39.72527521
 3800  0.00008854 40.52851610
 3900  0.00008323 40.79729141
 4000  0.00008824 40.54344504
 4100  0.00008380 40.76780554
 4200  0.00009475 40.23436691
 4300  0.00007776 41.09257804
 4400  0.00008386 40.76464844
 4500  0.00010916 39.61916667
 4600  0.00007195 41.42977423
 4700  0.00007609 41.18663866
 4800  0.00007775 41.09303383
 4900  0.00007176 41.44129117
 5000  0.00013440 38.71604765
 5100  0.00007246 41.39874821
 5200  0.00008850 40.53039355
 5300  0.00008330 40.79334884
 5400  0.00016334 37.86913717
 5500  0.00012770 38.93802575
 5600  0.00007196 41.42932714
 5700  0.00007106 41.48355197
 5800  0.00007992 40.97358885
 5900  0.00010575 39.75732039
 6000  0.00006699 41.73991475
 6100  0.00010578 39.75593279
 6200  0.00008579 40.66546540
 6300  0.00005415 42.66404589
 6400  0.00008050 40.94191463
 6500  0.00008971 40.47150755
 6600  0.00005827 42.34586200
 6700  0.00007119 41.47575581
 6800  0.00005463 42.62587705
 6900  0.00008688 40.61098998
 7000  0.00008431 40.74125909
 7100  0.00005635 42.49087198
 7200  0.00007477 41.26292438
 7300  0.00004277 43.68848517
 7400  0.00007327 41.35096217
 7500  0.00004826 43.16381185
 7600  0.00006199 42.07678532
 7700  0.00004339 43.62560667
 7800  0.00007850 41.05126492
 7900  0.00003906 44.08266995
 8000  0.00004992 43.01718834
 8100  0.00005787 42.37540341
 8200  0.00003767 44.23957372
 8300  0.00004012 43.96621599
 8400  0.00003839 44.15770172
 8500  0.00005024 42.98991298
 8600  0.00005154 42.87848664
 8700  0.00003991 43.98964242
 8800  0.00003452 44.61889712
 8900  0.00005166 42.86832496
 9000  0.00003891 44.09904303
 9100  0.00003778 44.22749166
 9200  0.00004244 43.72243178
 9300  0.00005572 42.54024507
 9400  0.00003685 44.33518082
 9500  0.00003998 43.98181275
 9600  0.00008714 40.59798244
 9700  0.00003459 44.60993053
 9800  0.00003324 44.78302316
 9900  0.00003168 44.99161442
