IterationsTotal Loss      PSNR
 100  0.00198946 27.01264330
  200  0.00091052 30.40711875
  300  0.00064819 31.88299522
  400  0.00062381 32.04947784
  500  0.00043357 33.62944351
  600  0.00046810 33.29659637
  700  0.00035977 34.43977661
  800  0.00034047 34.67916507
  900  0.00030079 35.21738229
 1000  0.00028652 35.42845318
 1100  0.00029133 35.35620431
 1200  0.00033717 34.72155582
 1300  0.00022762 36.42794450
 1400  0.00023907 36.21467680
 1500  0.00028768 35.41084488
 1600  0.00026251 35.80854433
 1700  0.00019166 37.17467180
 1800  0.00021767 36.62191906
 1900  0.00024097 36.18042493
 2000  0.00015982 37.96367307
 2100  0.00016736 37.76354307
 2200  0.00019518 37.09557389
 2300  0.00014340 38.43456754
 2400  0.00018302 37.37510851
 2500  0.00014848 38.28342863
 2600  0.00016090 37.93450262
 2700  0.00013212 38.79027330
 2800  0.00013404 38.72755038
 2900  0.00014160 38.48935497
 3000  0.00012764 38.94019149
 3100  0.00020782 36.82308162
 3200  0.00016381 37.85656605
 3300  0.00012918 38.88788909
 3400  0.00016350 37.86491874
 3500  0.00012618 38.99003486
 3600  0.00009775 40.09898847
 3700  0.00010322 39.86231759
 3800  0.00009683 40.14000058
 3900  0.00011002 39.58525108
 4000  0.00009117 40.40126346
 4100  0.00011557 39.37153173
 4200  0.00008868 40.52190655
 4300  0.00008204 40.85948461
 4400  0.00017585 37.54852800
 4500  0.00012193 39.13882685
 4600  0.00008961 40.47637473
 4700  0.00012952 38.87649578
 4800  0.00014910 38.26520464
 4900  0.00007035 41.52753968
 5000  0.00007319 41.35530096
 5100  0.00007270 41.38451045
 5200  0.00006517 41.85966386
 5300  0.00010896 39.62743626
 5400  0.00009146 40.38751221
 5500  0.00006130 42.12510565
 5600  0.00008767 40.57142419
 5700  0.00145327 28.37654003
 5800  0.00084301 30.74167677
 5900  0.00070023 31.54760431
 6000  0.00064647 31.89453792
 6100  0.00056918 32.44748657
 6200  0.00052605 32.78972016
 6300  0.00051961 32.84323897
 6400  0.00051262 32.90200791
 6500  0.00048465 33.14567555
 6600  0.00041543 33.81505676
 6700  0.00041108 33.86075253
 6800  0.00037829 34.22177068
 6900  0.00038447 34.15139899
 7000  0.00035036 34.55491217
 7100  0.00033370 34.76641937
 7200  0.00033155 34.79444690
 7300  0.00033029 34.81107832
 7400  0.00029227 35.34213133
 7500  0.00029147 35.35411687
 7600  0.00029117 35.35860373
 7700  0.00026988 35.68827100
 7800  0.00026512 35.76560005
 7900  0.00024917 36.03500232
 8000  0.00024571 36.09572042
 8100  0.00024821 36.05189454
 8200  0.00024411 36.12408644
 8300  0.00022690 36.44170119
 8400  0.00023598 36.27131862
 8500  0.00021521 36.67147605
 8600  0.00024595 36.09153114
 8700  0.00020334 36.91775660
 8800  0.00023324 36.32203916
 8900  0.00020313 36.92223527
 9000  0.00019143 37.17992755
 9100  0.00020276 36.93026335
 9200  0.00022578 36.46318714
 9300  0.00024745 36.06504733
 9400  0.00019568 37.08456099
 9500  0.00020595 36.86230053
 9600  0.00017792 37.49766108
 9700  0.00025699 35.90087406
 9800  0.00017199 37.64488357
 9900  0.00018535 37.32009136
