          0  0.07524829 11.23503399
        100  0.11215730  9.50172424
        200  0.11215730  9.50172424
        300  0.11215730  9.50172424
        400  0.11215730  9.50172424
        500  0.11215730  9.50172424
        600  0.11215730  9.50172424
        700  0.11215730  9.50172424
        800  0.11215730  9.50172424
        900  0.11215730  9.50172424
       1000  0.11215730  9.50172424
       1100  0.11215730  9.50172424
       1200  0.11215730  9.50172424
       1300  0.11215730  9.50172424
       1400  0.11215730  9.50172424
       1500  0.11215730  9.50172424
       1600  0.11215730  9.50172424
       1700  0.11215730  9.50172424
       1800  0.11215730  9.50172424
       1900  0.11215730  9.50172424
       2000  0.11215730  9.50172424
       2100  0.11215730  9.50172424
       2200  0.11215730  9.50172424
       2300  0.11215730  9.50172424
       2400  0.11215730  9.50172424
       2500  0.11215730  9.50172424
       2600  0.11215730  9.50172424
       2700  0.11215730  9.50172424
       2800  0.11215730  9.50172424
       2900  0.11215730  9.50172424
       3000  0.11215730  9.50172424
       3100  0.11215730  9.50172424
       3200  0.11215730  9.50172424
       3300  0.11215730  9.50172424
       3400  0.11215730  9.50172424
       3500  0.11215730  9.50172424
       3600  0.11215730  9.50172424
       3700  0.11215730  9.50172424
       3800  0.11215730  9.50172424
       3900  0.11215730  9.50172424
       4000  0.11215730  9.50172424
       4100  0.11215730  9.50172424
       4200  0.11215730  9.50172424
       4300  0.11215730  9.50172424
       4400  0.11215730  9.50172424
       4500  0.11215730  9.50172424
       4600  0.11215730  9.50172424
       4700  0.11215730  9.50172424
       4800  0.11215730  9.50172424
       4900  0.11215730  9.50172424
       5000  0.11215730  9.50172424
       5100  0.11215730  9.50172424
       5200  0.11215730  9.50172424
       5300  0.11215730  9.50172424
       5400  0.11215730  9.50172424
       5500  0.11215730  9.50172424
       5600  0.11215730  9.50172424
       5700  0.11215730  9.50172424
       5800  0.11215730  9.50172424
       5900  0.11215730  9.50172424
       6000  0.11215730  9.50172424
       6100  0.11215730  9.50172424
       6200  0.11215730  9.50172424
       6300  0.11215730  9.50172424
       6400  0.11215730  9.50172424
       6500  0.11215730  9.50172424
       6600  0.11215730  9.50172424
       6700  0.11215730  9.50172424
       6800  0.11215730  9.50172424
       6900  0.11215730  9.50172424
       7000  0.11215730  9.50172424
       7100  0.11215730  9.50172424
       7200  0.11215730  9.50172424
       7300  0.11215730  9.50172424
       7400  0.11215730  9.50172424
       7500  0.11215730  9.50172424
       7600  0.11215730  9.50172424
       7700  0.11215730  9.50172424
       7800  0.11215730  9.50172424
       7900  0.11215730  9.50172424
       8000  0.11215730  9.50172424
       8100  0.11215730  9.50172424
       8200  0.11215730  9.50172424
       8300  0.11215730  9.50172424
       8400  0.11215730  9.50172424
       8500  0.11215730  9.50172424
       8600  0.11215730  9.50172424
       8700  0.11215730  9.50172424
       8800  0.11215730  9.50172424
       8900  0.11215730  9.50172424
       9000  0.11215730  9.50172424
       9100  0.11215730  9.50172424
       9200  0.11215730  9.50172424
       9300  0.11215730  9.50172424
       9400  0.11215730  9.50172424
       9500  0.11215730  9.50172424
       9600  0.11215730  9.50172424
       9700  0.11215730  9.50172424
       9800  0.11215730  9.50172424
       9900  0.11215730  9.50172424
      10000  0.11215730  9.50172424
