          0  0.04400953 13.56453323
        100  0.15006851  8.23710442
        200  0.15006851  8.23710442
        300  0.15006851  8.23710442
        400  0.15006851  8.23710442
        500  0.15006851  8.23710442
        600  0.15006851  8.23710442
        700  0.15006851  8.23710442
        800  0.15006851  8.23710442
        900  0.15006851  8.23710442
       1000  0.15006851  8.23710442
       1100  0.15006851  8.23710442
       1200  0.15006851  8.23710442
       1300  0.15006851  8.23710442
       1400  0.15006851  8.23710442
       1500  0.15006851  8.23710442
       1600  0.15006851  8.23710442
       1700  0.15006851  8.23710442
       1800  0.15006851  8.23710442
       1900  0.15006851  8.23710442
       2000  0.15006851  8.23710442
       2100  0.15006851  8.23710442
       2200  0.15006851  8.23710442
       2300  0.15006851  8.23710442
       2400  0.15006851  8.23710442
       2500  0.15006851  8.23710442
       2600  0.15006851  8.23710442
       2700  0.15006851  8.23710442
       2800  0.15006851  8.23710442
       2900  0.15006851  8.23710442
       3000  0.15006851  8.23710442
       3100  0.15006851  8.23710442
       3200  0.15006851  8.23710442
       3300  0.15006851  8.23710442
       3400  0.15006851  8.23710442
       3500  0.15006851  8.23710442
       3600  0.15006851  8.23710442
       3700  0.15006851  8.23710442
       3800  0.15006851  8.23710442
       3900  0.15006851  8.23710442
       4000  0.15006851  8.23710442
       4100  0.15006851  8.23710442
       4200  0.15006851  8.23710442
       4300  0.15006851  8.23710442
       4400  0.15006851  8.23710442
       4500  0.15006851  8.23710442
       4600  0.15006851  8.23710442
       4700  0.15006851  8.23710442
       4800  0.15006851  8.23710442
       4900  0.15006851  8.23710442
       5000  0.15006851  8.23710442
       5100  0.15006851  8.23710442
       5200  0.15006851  8.23710442
       5300  0.15006851  8.23710442
       5400  0.15006851  8.23710442
       5500  0.15006851  8.23710442
       5600  0.15006851  8.23710442
       5700  0.15006851  8.23710442
       5800  0.15006851  8.23710442
       5900  0.15006851  8.23710442
       6000  0.15006851  8.23710442
       6100  0.15006851  8.23710442
       6200  0.15006851  8.23710442
       6300  0.15006851  8.23710442
       6400  0.15006851  8.23710442
       6500  0.15006851  8.23710442
       6600  0.15006851  8.23710442
       6700  0.15006851  8.23710442
       6800  0.15006851  8.23710442
       6900  0.15006851  8.23710442
       7000  0.15006851  8.23710442
       7100  0.15006851  8.23710442
       7200  0.15006851  8.23710442
       7300  0.15006851  8.23710442
       7400  0.15006851  8.23710442
       7500  0.15006851  8.23710442
       7600  0.15006851  8.23710442
       7700  0.15006851  8.23710442
       7800  0.15006851  8.23710442
       7900  0.15006851  8.23710442
       8000  0.15006851  8.23710442
       8100  0.15006851  8.23710442
       8200  0.15006851  8.23710442
       8300  0.15006851  8.23710442
       8400  0.15006851  8.23710442
       8500  0.15006851  8.23710442
       8600  0.15006851  8.23710442
       8700  0.15006851  8.23710442
       8800  0.15006851  8.23710442
       8900  0.15006851  8.23710442
       9000  0.15006851  8.23710442
       9100  0.15006851  8.23710442
       9200  0.15006851  8.23710442
       9300  0.15006851  8.23710442
       9400  0.15006851  8.23710442
       9500  0.15006851  8.23710442
       9600  0.15006851  8.23710442
       9700  0.15006851  8.23710442
       9800  0.15006851  8.23710442
       9900  0.15006851  8.23710442
      10000  0.15006851  8.23710442
