          0  0.08534124 10.68841076
        100  0.23239094  6.33780813
        200  0.23239094  6.33780813
        300  0.23239094  6.33780813
        400  0.23239094  6.33780813
        500  0.23239094  6.33780813
        600  0.23239094  6.33780813
        700  0.23239094  6.33780813
        800  0.23239094  6.33780813
        900  0.23239094  6.33780813
       1000  0.23239094  6.33780813
       1100  0.23239094  6.33780813
       1200  0.23239094  6.33780813
       1300  0.23239094  6.33780813
       1400  0.23239094  6.33780813
       1500  0.23239094  6.33780813
       1600  0.23239094  6.33780813
       1700  0.23239094  6.33780813
       1800  0.23239094  6.33780813
       1900  0.23239094  6.33780813
       2000  0.23239094  6.33780813
       2100  0.23239094  6.33780813
       2200  0.23239094  6.33780813
       2300  0.23239094  6.33780813
       2400  0.23239094  6.33780813
       2500  0.23239094  6.33780813
       2600  0.23239094  6.33780813
       2700  0.23239094  6.33780813
       2800  0.23239094  6.33780813
       2900  0.23239094  6.33780813
       3000  0.23239094  6.33780813
       3100  0.23239094  6.33780813
       3200  0.23239094  6.33780813
       3300  0.23239094  6.33780813
       3400  0.23239094  6.33780813
       3500  0.23239094  6.33780813
       3600  0.23239094  6.33780813
       3700  0.23239094  6.33780813
       3800  0.23239094  6.33780813
       3900  0.23239094  6.33780813
       4000  0.23239094  6.33780813
       4100  0.23239094  6.33780813
       4200  0.23239094  6.33780813
       4300  0.23239094  6.33780813
       4400  0.23239094  6.33780813
       4500  0.23239094  6.33780813
       4600  0.23239094  6.33780813
       4700  0.23239094  6.33780813
       4800  0.23239094  6.33780813
       4900  0.23239094  6.33780813
       5000  0.23239094  6.33780813
       5100  0.23239094  6.33780813
       5200  0.23239094  6.33780813
       5300  0.23239094  6.33780813
       5400  0.23239094  6.33780813
       5500  0.23239094  6.33780813
       5600  0.23239094  6.33780813
       5700  0.23239094  6.33780813
       5800  0.23239094  6.33780813
       5900  0.23239094  6.33780813
       6000  0.23239094  6.33780813
       6100  0.23239094  6.33780813
       6200  0.23239094  6.33780813
       6300  0.23239094  6.33780813
       6400  0.23239094  6.33780813
       6500  0.23239094  6.33780813
       6600  0.23239094  6.33780813
       6700  0.23239094  6.33780813
       6800  0.23239094  6.33780813
       6900  0.23239094  6.33780813
       7000  0.23239094  6.33780813
       7100  0.23239094  6.33780813
       7200  0.23239094  6.33780813
       7300  0.23239094  6.33780813
       7400  0.23239094  6.33780813
       7500  0.23239094  6.33780813
       7600  0.23239094  6.33780813
       7700  0.23239094  6.33780813
       7800  0.23239094  6.33780813
       7900  0.23239094  6.33780813
       8000  0.23239094  6.33780813
       8100  0.23239094  6.33780813
       8200  0.23239094  6.33780813
       8300  0.23239094  6.33780813
       8400  0.23239094  6.33780813
       8500  0.23239094  6.33780813
       8600  0.23239094  6.33780813
       8700  0.23239094  6.33780813
       8800  0.23239094  6.33780813
       8900  0.23239094  6.33780813
       9000  0.23239094  6.33780813
       9100  0.23239094  6.33780813
       9200  0.23239094  6.33780813
       9300  0.23239094  6.33780813
       9400  0.23239094  6.33780813
       9500  0.23239094  6.33780813
       9600  0.23239094  6.33780813
       9700  0.23239094  6.33780813
       9800  0.23239094  6.33780813
       9900  0.23239094  6.33780813
      10000  0.23239094  6.33780813
