          0  0.07495734 11.25185871
        100  0.22819169  6.41700125
        200  0.22808599  6.41901350
        300  0.22805440  6.41961479
        400  0.22736093  6.43284130
        500  0.22766621  6.42701387
        600  0.22665219  6.44640064
        700  0.22717340  6.43642473
        800  0.22733782  6.43328238
        900  0.22753419  6.42953300
       1000  0.22716886  6.43651199
       1100  0.22644396  6.45039272
       1200  0.22622006  6.45468855
       1300  0.22603923  6.45816088
       1400  0.22642782  6.45070171
       1500  0.22665831  6.44628334
       1600  0.22896908  6.40223122
       1700  0.22637981  6.45162296
       1800  0.22630988  6.45296478
       1900  0.22646840  6.44992352
       2000  0.22586609  6.46148920
       2100  0.22672100  6.44508219
       2200  0.22599810  6.45895195
       2300  0.22519009  6.47450733
       2400  0.22421712  6.49331236
       2500  0.22569041  6.46486902
       2600  0.22430798  6.49155283
       2700  0.22453906  6.48708105
       2800  0.22450578  6.48772430
       2900  0.22513700  6.47553110
       3000  0.22448665  6.48809433
       3100  0.17052934  7.68200922
       3200  0.15323961  8.14628983
       3300  0.16419654  7.84635973
       3400  0.16224337  7.89833069
       3500  0.16407219  7.84965038
       3600  0.16635551  7.78962803
       3700  0.15868121  7.99474478
       3800  0.16043799  7.94692802
       3900  0.15881239  7.99115658
       4000  0.16043536  7.94699860
       4100  0.15723737  8.03444195
       4200  0.15502325  8.09603119
       4300  0.16628768  7.79139900
       4400  0.15671806  8.04880905
       4500  0.15676275  8.04757118
       4600  0.15409321  8.12216473
       4700  0.15542719  8.08473015
       4800  0.15623397  8.06224537
       4900  0.15059175  8.22198772
       5000  0.15384112  8.12927532
       5100  0.15281264  8.15840721
       5200  0.15623695  8.06216240
       5300  0.15367424  8.13398933
       5400  0.15166885  8.19103622
       5500  0.15201695  8.18107986
       5600  0.16372903  7.85874271
       5700  0.15365817  8.13444328
       5800  0.15161209  8.19266224
       5900  0.15341200  8.14140701
       6000  0.15125756  8.20282936
       6100  0.15036431  8.22855186
       6200  0.15166421  8.19116879
       6300  0.15468994  8.10537910
       6400  0.15292282  8.15527630
       6500  0.15003923  8.23795128
       6600  0.14949225  8.25381279
       6700  0.15134490  8.20032215
       6800  0.15715846  8.03662205
       6900  0.16020983  7.95310783
       7000  0.16627255  7.79179430
       7100  0.16840811  7.73636961
       7200  0.17156184  7.65579319
       7300  0.16246609  7.89237213
       7400  0.16227345  7.89752483
       7500  0.16418052  7.84678364
       7600  0.15781471  8.01852512
       7700  0.16247390  7.89216375
       7800  0.16194133  7.90642262
       7900  0.15904710  7.98474264
       8000  0.16295388  7.87935305
       8100  0.15743656  8.02894402
       8200  0.18235131  7.39091110
       8300  0.16826381  7.74009275
       8400  0.15953641  7.97140217
       8500  0.15606461  8.06695557
       8600  0.16463578  7.83475780
       8700  0.16355430  7.86338043
       8800  0.17868215  7.47918844
       8900  0.17889842  7.47393465
       9000  0.18183672  7.40318346
       9100  0.18108435  7.42119026
       9200  0.17722106  7.51484632
       9300  0.16111851  7.92854548
       9400  0.15944189  7.97397518
       9500  0.18376687  7.35732746
       9600  0.17668298  7.52805328
       9700  0.16762587  7.75658941
       9800  0.17082943  7.67437267
       9900  0.16897759  7.72170877
      10000  0.15581048  8.07403374
