          0  0.09509645 10.21835709
        100  0.16532807  7.81653404
        200  0.16532807  7.81653404
        300  0.16532807  7.81653404
        400  0.16532807  7.81653404
        500  0.16532807  7.81653404
        600  0.16532807  7.81653404
        700  0.16532807  7.81653404
        800  0.16532807  7.81653404
        900  0.16532807  7.81653404
       1000  0.16532807  7.81653404
       1100  0.16532807  7.81653404
       1200  0.16532807  7.81653404
       1300  0.16532807  7.81653404
       1400  0.16532807  7.81653404
       1500  0.16532807  7.81653404
       1600  0.16532807  7.81653404
       1700  0.16532807  7.81653404
       1800  0.16532807  7.81653404
       1900  0.16532807  7.81653404
       2000  0.16532807  7.81653404
       2100  0.16532807  7.81653404
       2200  0.16532807  7.81653404
       2300  0.16532807  7.81653404
       2400  0.16532807  7.81653404
       2500  0.16532807  7.81653404
       2600  0.16532807  7.81653404
       2700  0.16532807  7.81653404
       2800  0.16532807  7.81653404
       2900  0.16532807  7.81653404
       3000  0.16532807  7.81653404
       3100  0.16532807  7.81653404
       3200  0.16532807  7.81653404
       3300  0.16532807  7.81653404
       3400  0.16532807  7.81653404
       3500  0.16532807  7.81653404
       3600  0.16532807  7.81653404
       3700  0.16532807  7.81653404
       3800  0.16532807  7.81653404
       3900  0.16532807  7.81653404
       4000  0.16532807  7.81653404
       4100  0.16532807  7.81653404
       4200  0.16532807  7.81653404
       4300  0.16532807  7.81653404
       4400  0.16532807  7.81653404
       4500  0.16532807  7.81653404
       4600  0.16532807  7.81653404
       4700  0.16532807  7.81653404
       4800  0.16532807  7.81653404
       4900  0.16532807  7.81653404
       5000  0.16532807  7.81653404
       5100  0.16532807  7.81653404
       5200  0.16532807  7.81653404
       5300  0.16532807  7.81653404
       5400  0.16532807  7.81653404
       5500  0.16532807  7.81653404
       5600  0.16532807  7.81653404
       5700  0.16532807  7.81653404
       5800  0.16532807  7.81653404
       5900  0.16532807  7.81653404
       6000  0.16532807  7.81653404
       6100  0.16532807  7.81653404
       6200  0.16532807  7.81653404
       6300  0.16532807  7.81653404
       6400  0.16532807  7.81653404
       6500  0.16532807  7.81653404
       6600  0.16532807  7.81653404
       6700  0.16532807  7.81653404
       6800  0.16532807  7.81653404
       6900  0.16532807  7.81653404
       7000  0.16532807  7.81653404
       7100  0.16532807  7.81653404
       7200  0.16532807  7.81653404
       7300  0.16532807  7.81653404
       7400  0.16532807  7.81653404
       7500  0.16532807  7.81653404
       7600  0.16532807  7.81653404
       7700  0.16532807  7.81653404
       7800  0.16532807  7.81653404
       7900  0.16532807  7.81653404
       8000  0.16532807  7.81653404
       8100  0.16532807  7.81653404
       8200  0.16532807  7.81653404
       8300  0.16532807  7.81653404
       8400  0.16532807  7.81653404
       8500  0.16532807  7.81653404
       8600  0.16532807  7.81653404
       8700  0.16532807  7.81653404
       8800  0.16532807  7.81653404
       8900  0.16532807  7.81653404
       9000  0.16532807  7.81653404
       9100  0.16532807  7.81653404
       9200  0.16532807  7.81653404
       9300  0.16532807  7.81653404
       9400  0.16532807  7.81653404
       9500  0.16532807  7.81653404
       9600  0.16532807  7.81653404
       9700  0.16532807  7.81653404
       9800  0.16532807  7.81653404
       9900  0.16532807  7.81653404
      10000  0.16532807  7.81653404
