          0  0.07444548 11.28161716
        100  0.17369565  7.60211086
        200  0.17190467  7.64712381
        300  0.17028801  7.68815947
        400  0.16607279  7.79701519
        500  0.16575718  7.80527592
        600  0.16314876  7.87416220
        700  0.16434951  7.84231567
        800  0.16340785  7.86727095
        900  0.16330060  7.87012196
       1000  0.16329814  7.87018776
       1100  0.16189902  7.90755796
       1200  0.16409001  7.84917879
       1300  0.16155469  7.91680431
       1400  0.16306902  7.87628555
       1500  0.16716078  7.76865625
       1600  0.16027433  7.95136023
       1700  0.16047965  7.94580078
       1800  0.16103745  7.93073130
       1900  0.16014352  7.95490646
       2000  0.16256218  7.88980484
       2100  0.16212869  7.90140104
       2200  0.16117382  7.92705536
       2300  0.16060781  7.94233370
       2400  0.16515477  7.82108879
       2500  0.16523480  7.81898451
       2600  0.16052495  7.94457483
       2700  0.16441381  7.84061670
       2800  0.16156268  7.91658926
       2900  0.16534443  7.81610441
       3000  0.16352369  7.86419296
       3100  0.16970281  7.70310926
       3200  0.16556513  7.81031132
       3300  0.16263303  7.88791275
       3400  0.16828403  7.73957062
       3500  0.16213062  7.90134907
       3600  0.16801852  7.74642801
       3700  0.16326828  7.87098122
       3800  0.16653106  7.78504753
       3900  0.16368918  7.85979986
       4000  0.16252840  7.89070749
       4100  0.16025434  7.95190191
       4200  0.16242939  7.89335394
       4300  0.16296713  7.87899971
       4400  0.16202395  7.90420818
       4500  0.16868396  7.72926188
       4600  0.17192544  7.64659834
       4700  0.16505457  7.82372427
       4800  0.16959047  7.70598555
       4900  0.16863090  7.73062801
       5000  0.17103520  7.66914511
       5100  0.17243901  7.63364506
       5200  0.16997530  7.69614220
       5300  0.16747892  7.76039886
       5400  0.16850764  7.73380423
       5500  0.16665715  7.78176022
       5600  0.16629735  7.79114676
       5700  0.16781400  7.75171804
       5800  0.17254978  7.63085556
       5900  0.16899629  7.72122812
       6000  0.16857302  7.73211908
       6100  0.16742045  7.76191473
       6200  0.17084374  7.67400932
       6300  0.17040640  7.68514061
       6400  0.16646107  7.78687334
       6500  0.16922277  7.71541214
       6600  0.17058097  7.68069458
       6700  0.16888103  7.72419119
       6800  0.17051725  7.68231678
       6900  0.16884252  7.72518110
       7000  0.17060222  7.68015337
       7100  0.19119844  7.18515682
       7200  0.17662767  7.52941227
       7300  0.17601047  7.54461479
       7400  0.17184594  7.64860725
       7500  0.16931443  7.71306038
       7600  0.17123468  7.66408253
       7700  0.17040598  7.68515110
       7800  0.17256270  7.63053036
       7900  0.17803109  7.49504137
       8000  0.18033603  7.43917561
       8100  0.17732666  7.51225948
       8200  0.17570838  7.55207539
       8300  0.17151405  7.65700293
       8400  0.17244676  7.63344955
       8500  0.17042793  7.68459225
       8600  0.17240630  7.63446903
       8700  0.16850597  7.73384714
       8800  0.17685647  7.52379036
       8900  0.18101326  7.42289686
       9000  0.18039095  7.43785238
       9100  0.17571305  7.55195951
       9200  0.17369682  7.60208130
       9300  0.17122009  7.66445255
       9400  0.17037156  7.68602896
       9500  0.17087348  7.67325354
       9600  0.17605647  7.54347992
       9700  0.16836751  7.73741722
       9800  0.17318991  7.61477470
       9900  0.17250362  7.63201809
      10000  0.17776482  7.50154161
