          0  0.08167831 10.87893295
        100  0.14399664  8.41647625
        200  0.14399664  8.41647625
        300  0.14399664  8.41647625
        400  0.14399664  8.41647625
        500  0.14399664  8.41647625
        600  0.14399664  8.41647625
        700  0.14399664  8.41647625
        800  0.14399664  8.41647625
        900  0.14399664  8.41647625
       1000  0.14399664  8.41647625
       1100  0.14399664  8.41647625
       1200  0.14399664  8.41647625
       1300  0.14399664  8.41647625
       1400  0.14399664  8.41647625
       1500  0.14399664  8.41647625
       1600  0.14399664  8.41647625
       1700  0.14399664  8.41647625
       1800  0.14399664  8.41647625
       1900  0.14399664  8.41647625
       2000  0.14399664  8.41647625
       2100  0.14399664  8.41647625
       2200  0.14399664  8.41647625
       2300  0.14399664  8.41647625
       2400  0.14399664  8.41647625
       2500  0.14399664  8.41647625
       2600  0.14399664  8.41647625
       2700  0.14399664  8.41647625
       2800  0.14399664  8.41647625
       2900  0.14399664  8.41647625
       3000  0.14399664  8.41647625
       3100  0.14399664  8.41647625
       3200  0.14399664  8.41647625
       3300  0.14399664  8.41647625
       3400  0.14399664  8.41647625
       3500  0.14399664  8.41647625
       3600  0.14399664  8.41647625
       3700  0.14399664  8.41647625
       3800  0.14399664  8.41647625
       3900  0.14399664  8.41647625
       4000  0.14399664  8.41647625
       4100  0.14399664  8.41647625
       4200  0.14399664  8.41647625
       4300  0.14399664  8.41647625
       4400  0.14399664  8.41647625
       4500  0.14399664  8.41647625
       4600  0.14399664  8.41647625
       4700  0.14399664  8.41647625
       4800  0.14399664  8.41647625
       4900  0.14399664  8.41647625
       5000  0.14399664  8.41647625
       5100  0.14399664  8.41647625
       5200  0.14399664  8.41647625
       5300  0.14399664  8.41647625
       5400  0.14399664  8.41647625
       5500  0.14399664  8.41647625
       5600  0.14399664  8.41647625
       5700  0.14399664  8.41647625
       5800  0.14399664  8.41647625
       5900  0.14399664  8.41647625
       6000  0.14399664  8.41647625
       6100  0.14399664  8.41647625
       6200  0.14399664  8.41647625
       6300  0.14399664  8.41647625
       6400  0.14399664  8.41647625
       6500  0.14399664  8.41647625
       6600  0.14399664  8.41647625
       6700  0.14399664  8.41647625
       6800  0.14399664  8.41647625
       6900  0.14399664  8.41647625
       7000  0.14399664  8.41647625
       7100  0.14399664  8.41647625
       7200  0.14399664  8.41647625
       7300  0.14399664  8.41647625
       7400  0.14399664  8.41647625
       7500  0.14399664  8.41647625
       7600  0.14399664  8.41647625
       7700  0.14399664  8.41647625
       7800  0.14399664  8.41647625
       7900  0.14399664  8.41647625
       8000  0.14399664  8.41647625
       8100  0.14399664  8.41647625
       8200  0.14399664  8.41647625
       8300  0.14399664  8.41647625
       8400  0.14399664  8.41647625
       8500  0.14399664  8.41647625
       8600  0.14399664  8.41647625
       8700  0.14399664  8.41647625
       8800  0.14399664  8.41647625
       8900  0.14399664  8.41647625
       9000  0.14399664  8.41647625
       9100  0.14399664  8.41647625
       9200  0.14399664  8.41647625
       9300  0.14399664  8.41647625
       9400  0.14399664  8.41647625
       9500  0.14399664  8.41647625
       9600  0.14399664  8.41647625
       9700  0.14399664  8.41647625
       9800  0.14399664  8.41647625
       9900  0.14399664  8.41647625
      10000  0.14399664  8.41647625
