          0  0.08113148 10.90810585
        100  0.14421348  8.40994072
        200  0.14481086  8.39198875
        300  0.14355913  8.42969227
        400  0.14355643  8.42977333
        500  0.14361069  8.42813301
        600  0.14333475  8.43648529
        700  0.14570642  8.36521339
        800  0.14431632  8.40684605
        900  0.14245856  8.46311474
       1000  0.14323802  8.43941689
       1100  0.14234401  8.46660805
       1200  0.14238295  8.46541977
       1300  0.14287575  8.45041466
       1400  0.14419252  8.41057301
       1500  0.14760108  8.30910492
       1600  0.14336281  8.43563461
       1700  0.14419703  8.41043663
       1800  0.14503965  8.38513279
       1900  0.14299753  8.44671440
       2000  0.14255913  8.46004963
       2100  0.14252643  8.46104622
       2200  0.14386792  8.42036057
       2300  0.14236747  8.46589279
       2400  0.14742237  8.31436634
       2500  0.14805730  8.29570198
       2600  0.14702201  8.32617664
       2700  0.14964810  8.24928761
       2800  0.14780472  8.30311680
       2900  0.14772280  8.30552483
       3000  0.14755969  8.31032276
       3100  0.14678016  8.33332634
       3200  0.14830956  8.28830910
       3300  0.14775968  8.30444050
       3400  0.15657493  8.05277729
       3500  0.15081707  8.21549511
       3600  0.14756633  8.31012726
       3700  0.14812493  8.29371834
       3800  0.14639755  8.34466171
       3900  0.14715979  8.32210827
       4000  0.14711209  8.32351589
       4100  0.14760548  8.30897522
       4200  0.14729257  8.31819153
       4300  0.15135399  8.20006084
       4400  0.15131858  8.20107746
       4500  0.15086162  8.21421242
       4600  0.15041886  8.22697735
       4700  0.15078668  8.21636963
       4800  0.15050806  8.22440243
       4900  0.14812119  8.29382801
       5000  0.15251245  8.16694641
       5100  0.15449856  8.11075592
       5200  0.15049230  8.22485733
       5300  0.15350930  8.13865280
       5400  0.15122153  8.20386410
       5500  0.15102208  8.20959568
       5600  0.15042481  8.22680569
       5700  0.14985941  8.24315929
       5800  0.14994666  8.24063206
       5900  0.14997828  8.23971558
       6000  0.14953709  8.25251007
       6100  0.14903773  8.26703739
       6200  0.14891994  8.27047157
       6300  0.15071267  8.21850204
       6400  0.14949515  8.25372887
       6500  0.14912903  8.26437759
       6600  0.14871740  8.27638149
       6700  0.14932989  8.25853252
       6800  0.14964148  8.24948025
       6900  0.15006460  8.23721695
       7000  0.14913318  8.26425743
       7100  0.14884453  8.27267075
       7200  0.14869155  8.27713680
       7300  0.14943051  8.25560665
       7400  0.15066503  8.21987534
       7500  0.15116389  8.20551968
       7600  0.17439666  7.58461857
       7700  0.17437881  7.58506298
       7800  0.17437881  7.58506298
       7900  0.17437881  7.58506298
       8000  0.17437881  7.58506298
       8100  0.17437881  7.58506298
       8200  0.17437881  7.58506298
       8300  0.17437881  7.58506298
       8400  0.17437881  7.58506298
       8500  0.17437881  7.58506298
       8600  0.17437881  7.58506298
       8700  0.17437881  7.58506298
       8800  0.17437881  7.58506298
       8900  0.17437881  7.58506298
       9000  0.17437881  7.58506298
       9100  0.17437881  7.58506298
       9200  0.17437881  7.58506298
       9300  0.17437881  7.58506298
       9400  0.17437881  7.58506298
       9500  0.17437881  7.58506298
       9600  0.17437881  7.58506298
       9700  0.17437881  7.58506298
       9800  0.17437881  7.58506298
       9900  0.17437881  7.58506298
      10000  0.17437881  7.58506298
