          0  0.08241360 10.84001064
        100  0.21349236  6.70617676
        200  0.21349236  6.70617676
        300  0.21349236  6.70617676
        400  0.21349236  6.70617676
        500  0.21349236  6.70617676
        600  0.21349236  6.70617676
        700  0.21349236  6.70617676
        800  0.21349236  6.70617676
        900  0.21349236  6.70617676
       1000  0.21349236  6.70617676
       1100  0.21349236  6.70617676
       1200  0.21349236  6.70617676
       1300  0.21349236  6.70617676
       1400  0.21349236  6.70617676
       1500  0.21349236  6.70617676
       1600  0.21349236  6.70617676
       1700  0.21349236  6.70617676
       1800  0.21349236  6.70617676
       1900  0.21349236  6.70617676
       2000  0.21349236  6.70617676
       2100  0.21349236  6.70617676
       2200  0.21349236  6.70617676
       2300  0.21349236  6.70617676
       2400  0.21349236  6.70617676
       2500  0.21349236  6.70617676
       2600  0.21349236  6.70617676
       2700  0.21349236  6.70617676
       2800  0.21349236  6.70617676
       2900  0.21349236  6.70617676
       3000  0.21349236  6.70617676
       3100  0.21349236  6.70617676
       3200  0.21349236  6.70617676
       3300  0.21349236  6.70617676
       3400  0.21349236  6.70617676
       3500  0.21349236  6.70617676
       3600  0.21349236  6.70617676
       3700  0.21349236  6.70617676
       3800  0.21349236  6.70617676
       3900  0.21349236  6.70617676
       4000  0.21349236  6.70617676
       4100  0.21349236  6.70617676
       4200  0.21349236  6.70617676
       4300  0.21349236  6.70617676
       4400  0.21349236  6.70617676
       4500  0.21349236  6.70617676
       4600  0.21349236  6.70617676
       4700  0.21349236  6.70617676
       4800  0.21349236  6.70617676
       4900  0.21349236  6.70617676
       5000  0.21349236  6.70617676
       5100  0.21349236  6.70617676
       5200  0.21349236  6.70617676
       5300  0.21349236  6.70617676
       5400  0.21349236  6.70617676
       5500  0.21349236  6.70617676
       5600  0.21349236  6.70617676
       5700  0.21349236  6.70617676
       5800  0.21349236  6.70617676
       5900  0.21349236  6.70617676
       6000  0.21349236  6.70617676
       6100  0.21349236  6.70617676
       6200  0.21349236  6.70617676
       6300  0.21349236  6.70617676
       6400  0.21349236  6.70617676
       6500  0.21349236  6.70617676
       6600  0.21349236  6.70617676
       6700  0.21349236  6.70617676
       6800  0.21349236  6.70617676
       6900  0.21349236  6.70617676
       7000  0.21349236  6.70617676
       7100  0.21349236  6.70617676
       7200  0.21349236  6.70617676
       7300  0.21349236  6.70617676
       7400  0.21349236  6.70617676
       7500  0.21349236  6.70617676
       7600  0.21349236  6.70617676
       7700  0.21349236  6.70617676
       7800  0.21349236  6.70617676
       7900  0.21349236  6.70617676
       8000  0.21349236  6.70617676
       8100  0.21349236  6.70617676
       8200  0.21349236  6.70617676
       8300  0.21349236  6.70617676
       8400  0.21349236  6.70617676
       8500  0.21349236  6.70617676
       8600  0.21349236  6.70617676
       8700  0.21349236  6.70617676
       8800  0.21349236  6.70617676
       8900  0.21349236  6.70617676
       9000  0.21349236  6.70617676
       9100  0.21349236  6.70617676
       9200  0.21349236  6.70617676
       9300  0.21349236  6.70617676
       9400  0.21349236  6.70617676
       9500  0.21349236  6.70617676
       9600  0.21349236  6.70617676
       9700  0.21349236  6.70617676
       9800  0.21349236  6.70617676
       9900  0.21349236  6.70617676
      10000  0.21349236  6.70617676
