          0  0.04428452 13.53748035
        100  0.14888175  8.27158546
        200  0.14888175  8.27158546
        300  0.14888175  8.27158546
        400  0.14888175  8.27158546
        500  0.14888175  8.27158546
        600  0.14888175  8.27158546
        700  0.14888175  8.27158546
        800  0.14888175  8.27158546
        900  0.14888175  8.27158546
       1000  0.14888175  8.27158546
       1100  0.14888175  8.27158546
       1200  0.14888175  8.27158546
       1300  0.14888175  8.27158546
       1400  0.14888175  8.27158546
       1500  0.14888175  8.27158546
       1600  0.14888175  8.27158546
       1700  0.14888175  8.27158546
       1800  0.14888175  8.27158546
       1900  0.14888175  8.27158546
       2000  0.14888175  8.27158546
       2100  0.14888175  8.27158546
       2200  0.14888175  8.27158546
       2300  0.14888175  8.27158546
       2400  0.14888175  8.27158546
       2500  0.14888175  8.27158546
       2600  0.14888175  8.27158546
       2700  0.14888175  8.27158546
       2800  0.14888175  8.27158546
       2900  0.14888175  8.27158546
       3000  0.14888175  8.27158546
       3100  0.14888175  8.27158546
       3200  0.14888175  8.27158546
       3300  0.14888175  8.27158546
       3400  0.14888175  8.27158546
       3500  0.14888175  8.27158546
       3600  0.14888175  8.27158546
       3700  0.14888175  8.27158546
       3800  0.14888175  8.27158546
       3900  0.14888175  8.27158546
       4000  0.14888175  8.27158546
       4100  0.14888175  8.27158546
       4200  0.14888175  8.27158546
       4300  0.14888175  8.27158546
       4400  0.14888175  8.27158546
       4500  0.14888175  8.27158546
       4600  0.14888175  8.27158546
       4700  0.14888175  8.27158546
       4800  0.14888175  8.27158546
       4900  0.14888175  8.27158546
       5000  0.14888175  8.27158546
       5100  0.14888175  8.27158546
       5200  0.14888175  8.27158546
       5300  0.14888175  8.27158546
       5400  0.14888175  8.27158546
       5500  0.14888175  8.27158546
       5600  0.14888175  8.27158546
       5700  0.14888175  8.27158546
       5800  0.14888175  8.27158546
       5900  0.14888175  8.27158546
       6000  0.14888175  8.27158546
       6100  0.14888175  8.27158546
       6200  0.14888175  8.27158546
       6300  0.14888175  8.27158546
       6400  0.14888175  8.27158546
       6500  0.14888175  8.27158546
       6600  0.14888175  8.27158546
       6700  0.14888175  8.27158546
       6800  0.14888175  8.27158546
       6900  0.14888175  8.27158546
       7000  0.14888175  8.27158546
       7100  0.14888175  8.27158546
       7200  0.14888175  8.27158546
       7300  0.14888175  8.27158546
       7400  0.14888175  8.27158546
       7500  0.14888175  8.27158546
       7600  0.14888175  8.27158546
       7700  0.14888175  8.27158546
       7800  0.14888175  8.27158546
       7900  0.14888175  8.27158546
       8000  0.14888175  8.27158546
       8100  0.14888175  8.27158546
       8200  0.14888175  8.27158546
       8300  0.14888175  8.27158546
       8400  0.14888175  8.27158546
       8500  0.14888175  8.27158546
       8600  0.14888175  8.27158546
       8700  0.14888175  8.27158546
       8800  0.14888175  8.27158546
       8900  0.14888175  8.27158546
       9000  0.14888175  8.27158546
       9100  0.14888175  8.27158546
       9200  0.14888175  8.27158546
       9300  0.14888175  8.27158546
       9400  0.14888175  8.27158546
       9500  0.14888175  8.27158546
       9600  0.14888175  8.27158546
       9700  0.14888175  8.27158546
       9800  0.14888175  8.27158546
       9900  0.14888175  8.27158546
      10000  0.14888175  8.27158546
