          0  0.07928803 11.00792313
        100  0.23297000  6.32700014
        200  0.23095052  6.36481047
        300  0.23213305  6.34262991
        400  0.23128790  6.35847092
        500  0.23210791  6.34310102
        600  0.23240276  6.33758736
        700  0.23123085  6.35954189
        800  0.23038371  6.37548208
        900  0.23019938  6.37895870
       1000  0.23150229  6.35444689
       1100  0.23144396  6.35554171
       1200  0.23189461  6.34709311
       1300  0.24050225  6.18880796
       1400  0.23902386  6.21558762
       1500  0.24742781  6.06551504
       1600  0.24189712  6.16369295
       1700  0.23652674  6.26119757
       1800  0.23596597  6.27150631
       1900  0.23232384  6.33906221
       2000  0.23281153  6.32995510
       2100  0.23478927  6.29321766
       2200  0.23467301  6.29536867
       2300  0.23340449  6.31890774
       2400  0.23195624  6.34593916
       2500  0.23233707  6.33881521
       2600  0.23117122  6.36066246
       2700  0.23292583  6.32782364
       2800  0.23319732  6.32276392
       2900  0.23335090  6.31990528
       3000  0.23299387  6.32655478
       3100  0.23478633  6.29327154
       3200  0.23474146  6.29410172
       3300  0.24069753  6.18528318
       3400  0.23658301  6.26016474
       3500  0.23100182  6.36384535
       3600  0.23075761  6.36843967
       3700  0.23150516  6.35439301
       3800  0.23164871  6.35170078
       3900  0.23417363  6.30461979
       4000  0.23496532  6.28996277
       4100  0.23864248  6.22252178
       4200  0.24229997  6.15646601
       4300  0.23712859  6.25016069
       4400  0.25344968  5.96108294
       4500  0.23784424  6.23707294
       4600  0.23593825  6.27201653
       4700  0.23509924  6.28748751
       4800  0.23317775  6.32312870
       4900  0.23994695  6.19884777
       5000  0.23759793  6.24157333
       5100  0.23415959  6.30488062
       5200  0.23877706  6.22007465
       5300  0.23659168  6.26000547
       5400  0.24776137  6.05966425
       5500  0.24203870  6.16115189
       5600  0.24687979  6.07514477
       5700  0.24301225  6.14371777
       5800  0.29678312  5.27560854
       5900  0.29678312  5.27560854
       6000  0.29678312  5.27560854
       6100  0.29678312  5.27560854
       6200  0.29678312  5.27560854
       6300  0.29678312  5.27560854
       6400  0.29678312  5.27560854
       6500  0.29678312  5.27560854
       6600  0.29678312  5.27560854
       6700  0.29678312  5.27560854
       6800  0.29678312  5.27560854
       6900  0.29678312  5.27560854
       7000  0.29678312  5.27560854
       7100  0.29678312  5.27560854
       7200  0.29678312  5.27560854
       7300  0.29678312  5.27560854
       7400  0.29678312  5.27560854
       7500  0.29678312  5.27560854
       7600  0.29678312  5.27560854
       7700  0.29678312  5.27560854
       7800  0.29678312  5.27560854
       7900  0.29678312  5.27560854
       8000  0.29678312  5.27560854
       8100  0.29678312  5.27560854
       8200  0.29678312  5.27560854
       8300  0.29678312  5.27560854
       8400  0.29678312  5.27560854
       8500  0.29678312  5.27560854
       8600  0.29678312  5.27560854
       8700  0.29678312  5.27560854
       8800  0.29678312  5.27560854
       8900  0.29678312  5.27560854
       9000  0.29678312  5.27560854
       9100  0.29678312  5.27560854
       9200  0.29678312  5.27560854
       9300  0.29678312  5.27560854
       9400  0.29678312  5.27560854
       9500  0.29678312  5.27560854
       9600  0.29678312  5.27560854
       9700  0.29678312  5.27560854
       9800  0.29678312  5.27560854
       9900  0.29678312  5.27560854
      10000  0.29678312  5.27560854
