          0  0.07343810 11.34078598
        100  0.17577069  7.55053568
        200  0.17577069  7.55053568
        300  0.17577069  7.55053568
        400  0.17577069  7.55053568
        500  0.17577069  7.55053568
        600  0.17577069  7.55053568
        700  0.17577069  7.55053568
        800  0.17577069  7.55053568
        900  0.17577069  7.55053568
       1000  0.17577069  7.55053568
       1100  0.17577069  7.55053568
       1200  0.17577069  7.55053568
       1300  0.17577069  7.55053568
       1400  0.17577069  7.55053568
       1500  0.17577069  7.55053568
       1600  0.17577069  7.55053568
       1700  0.17577069  7.55053568
       1800  0.17577069  7.55053568
       1900  0.17577069  7.55053568
       2000  0.17577069  7.55053568
       2100  0.17577069  7.55053568
       2200  0.17577069  7.55053568
       2300  0.17577069  7.55053568
       2400  0.17577069  7.55053568
       2500  0.17577069  7.55053568
       2600  0.17577069  7.55053568
       2700  0.17577069  7.55053568
       2800  0.17577069  7.55053568
       2900  0.17577069  7.55053568
       3000  0.17577069  7.55053568
       3100  0.17577069  7.55053568
       3200  0.17577069  7.55053568
       3300  0.17577069  7.55053568
       3400  0.17577069  7.55053568
       3500  0.17577069  7.55053568
       3600  0.17577069  7.55053568
       3700  0.17577069  7.55053568
       3800  0.17577069  7.55053568
       3900  0.17577069  7.55053568
       4000  0.17577069  7.55053568
       4100  0.17577069  7.55053568
       4200  0.17577069  7.55053568
       4300  0.17577069  7.55053568
       4400  0.17577069  7.55053568
       4500  0.17577069  7.55053568
       4600  0.17577069  7.55053568
       4700  0.17577069  7.55053568
       4800  0.17577069  7.55053568
       4900  0.17577069  7.55053568
       5000  0.17577069  7.55053568
       5100  0.17577069  7.55053568
       5200  0.17577069  7.55053568
       5300  0.17577069  7.55053568
       5400  0.17577069  7.55053568
       5500  0.17577069  7.55053568
       5600  0.17577069  7.55053568
       5700  0.17577069  7.55053568
       5800  0.17577069  7.55053568
       5900  0.17577069  7.55053568
       6000  0.17577069  7.55053568
       6100  0.17577069  7.55053568
       6200  0.17577069  7.55053568
       6300  0.17577069  7.55053568
       6400  0.17577069  7.55053568
       6500  0.17577069  7.55053568
       6600  0.17577069  7.55053568
       6700  0.17577069  7.55053568
       6800  0.17577069  7.55053568
       6900  0.17577069  7.55053568
       7000  0.17577069  7.55053568
       7100  0.17577069  7.55053568
       7200  0.17577069  7.55053568
       7300  0.17577069  7.55053568
       7400  0.17577069  7.55053568
       7500  0.17577069  7.55053568
       7600  0.17577069  7.55053568
       7700  0.17577069  7.55053568
       7800  0.17577069  7.55053568
       7900  0.17577069  7.55053568
       8000  0.17577069  7.55053568
       8100  0.17577069  7.55053568
       8200  0.17577069  7.55053568
       8300  0.17577069  7.55053568
       8400  0.17577069  7.55053568
       8500  0.17577069  7.55053568
       8600  0.17577069  7.55053568
       8700  0.17577069  7.55053568
       8800  0.17577069  7.55053568
       8900  0.17577069  7.55053568
       9000  0.17577069  7.55053568
       9100  0.17577069  7.55053568
       9200  0.17577069  7.55053568
       9300  0.17577069  7.55053568
       9400  0.17577069  7.55053568
       9500  0.17577069  7.55053568
       9600  0.17577069  7.55053568
       9700  0.17577069  7.55053568
       9800  0.17577069  7.55053568
       9900  0.17577069  7.55053568
      10000  0.17577069  7.55053568
