          0  0.06600393 11.80430126
        100  0.22623703  6.45436287
        200  0.22623703  6.45436287
        300  0.22623703  6.45436287
        400  0.22623703  6.45436287
        500  0.22623703  6.45436287
        600  0.22623703  6.45436287
        700  0.22623703  6.45436287
        800  0.22623703  6.45436287
        900  0.22623703  6.45436287
       1000  0.22623703  6.45436287
       1100  0.22623703  6.45436287
       1200  0.22623703  6.45436287
       1300  0.22623703  6.45436287
       1400  0.22623703  6.45436287
       1500  0.22623703  6.45436287
       1600  0.22623703  6.45436287
       1700  0.22623703  6.45436287
       1800  0.22623703  6.45436287
       1900  0.22623703  6.45436287
       2000  0.22623703  6.45436287
       2100  0.22623703  6.45436287
       2200  0.22623703  6.45436287
       2300  0.22623703  6.45436287
       2400  0.22623703  6.45436287
       2500  0.22623703  6.45436287
       2600  0.22623703  6.45436287
       2700  0.22623703  6.45436287
       2800  0.22623703  6.45436287
       2900  0.22623703  6.45436287
       3000  0.22623703  6.45436287
       3100  0.22623703  6.45436287
       3200  0.22623703  6.45436287
       3300  0.22623703  6.45436287
       3400  0.22623703  6.45436287
       3500  0.22623703  6.45436287
       3600  0.22623703  6.45436287
       3700  0.22623703  6.45436287
       3800  0.22623703  6.45436287
       3900  0.22623703  6.45436287
       4000  0.22623703  6.45436287
       4100  0.22623703  6.45436287
       4200  0.22623703  6.45436287
       4300  0.22623703  6.45436287
       4400  0.22623703  6.45436287
       4500  0.22623703  6.45436287
       4600  0.22623703  6.45436287
       4700  0.22623703  6.45436287
       4800  0.22623703  6.45436287
       4900  0.22623703  6.45436287
       5000  0.22623703  6.45436287
       5100  0.22623703  6.45436287
       5200  0.22623703  6.45436287
       5300  0.22623703  6.45436287
       5400  0.22623703  6.45436287
       5500  0.22623703  6.45436287
       5600  0.22623703  6.45436287
       5700  0.22623703  6.45436287
       5800  0.22623703  6.45436287
       5900  0.22623703  6.45436287
       6000  0.22623703  6.45436287
       6100  0.22623703  6.45436287
       6200  0.22623703  6.45436287
       6300  0.22623703  6.45436287
       6400  0.22623703  6.45436287
       6500  0.22623703  6.45436287
       6600  0.22623703  6.45436287
       6700  0.22623703  6.45436287
       6800  0.22623703  6.45436287
       6900  0.22623703  6.45436287
       7000  0.22623703  6.45436287
       7100  0.22623703  6.45436287
       7200  0.22623703  6.45436287
       7300  0.22623703  6.45436287
       7400  0.22623703  6.45436287
       7500  0.22623703  6.45436287
       7600  0.22623703  6.45436287
       7700  0.22623703  6.45436287
       7800  0.22623703  6.45436287
       7900  0.22623703  6.45436287
       8000  0.22623703  6.45436287
       8100  0.22623703  6.45436287
       8200  0.22623703  6.45436287
       8300  0.22623703  6.45436287
       8400  0.22623703  6.45436287
       8500  0.22623703  6.45436287
       8600  0.22623703  6.45436287
       8700  0.22623703  6.45436287
       8800  0.22623703  6.45436287
       8900  0.22623703  6.45436287
       9000  0.22623703  6.45436287
       9100  0.22623703  6.45436287
       9200  0.22623703  6.45436287
       9300  0.22623703  6.45436287
       9400  0.22623703  6.45436287
       9500  0.22623703  6.45436287
       9600  0.22623703  6.45436287
       9700  0.22623703  6.45436287
       9800  0.22623703  6.45436287
       9900  0.22623703  6.45436287
      10000  0.22623703  6.45436287
