IterationsTotal Loss      PSNR
 100  0.01045418 19.80710126
  200  0.00876991 20.57004660
  300  0.00791368 21.01621248
  400  0.00737874 21.32017934
  500  0.00701139 21.54195939
  600  0.00688322 21.62208428
  700  0.00670051 21.73892410
  800  0.00640513 21.93471782
  900  0.00637969 21.95200214
 1000  0.00621488 22.06567519
 1100  0.00609955 22.14702383
 1200  0.00605636 22.17788294
 1300  0.00606139 22.17427612
 1400  0.00601450 22.20800348
 1500  0.00590367 22.28878118
 1600  0.00584296 22.33367213
 1700  0.00580831 22.35950264
 1800  0.00572710 22.42065276
 1900  0.00573793 22.41244704
 2000  0.00570299 22.43897082
 2100  0.00569459 22.44537644
 2200  0.00564629 22.48236489
 2300  0.00561141 22.50927631
 2400  0.00553933 22.56543166
 2500  0.00554167 22.56359499
 2600  0.00553121 22.57179685
 2700  0.00552906 22.57348378
 2800  0.00545795 22.62970045
 2900  0.00544757 22.63797460
 3000  0.00547294 22.61779393
 3100  0.00537962 22.69248445
 3200  0.00540116 22.67513314
 3300  0.00534894 22.71732172
 3400  0.00540133 22.67499010
 3500  0.00536991 22.70033257
 3600  0.00539858 22.67720352
 3700  0.00529879 22.75823011
 3800  0.00528992 22.76550714
 3900  0.00532470 22.73704828
 4000  0.00527156 22.78060471
 4100  0.00524246 22.80464924
 4200  0.00522191 22.82170698
 4300  0.00524483 22.80268300
 4400  0.00519652 22.84287677
 4500  0.00517280 22.86274416
 4600  0.00519854 22.84118484
 4700  0.00515016 22.88179022
 4800  0.00520055 22.83951058
 4900  0.00513090 22.89806368
 5000  0.00512961 22.89915847
 5100  0.00512848 22.90011556
 5200  0.00509135 22.93167095
 5300  0.00509136 22.93165788
 5400  0.00508664 22.93569278
 5500  0.00508181 22.93981235
 5600  0.00507986 22.94148556
 5700  0.00503133 22.98316840
 5800  0.00504513 22.97127758
 5900  0.00505576 22.96213249
 6000  0.00505656 22.96144822
 6100  0.00504271 22.97335731
 6200  0.00504706 22.96961633
 6300  0.00503255 22.98212316
 6400  0.00503093 22.98351951
 6500  0.00499813 23.01192267
 6600  0.00500740 23.00388100
 6700  0.00497888 23.02868549
 6800  0.00499108 23.01805071
 6900  0.00497710 23.03023345
 7000  0.00496378 23.04187442
 7100  0.00498867 23.02015561
 7200  0.00493424 23.06779711
 7300  0.00493901 23.06359825
 7400  0.00490683 23.09199422
 7500  0.00497866 23.02887168
 7600  0.00491788 23.08222301
 7700  0.00492984 23.07166755
 7800  0.00494205 23.06092752
 7900  0.00491366 23.08594544
 8000  0.00490787 23.09107032
 8100  0.00488906 23.10774609
 8200  0.00489617 23.10143275
 8300  0.00489593 23.10164907
 8400  0.00486569 23.12855253
 8500  0.00483484 23.15617496
 8600  0.00485302 23.13987561
 8700  0.00484621 23.14598072
 8800  0.00492524 23.07572481
 8900  0.00484992 23.14265331
 9000  0.00482360 23.16628718
 9100  0.00486709 23.12730244
 9200  0.00482889 23.16152732
 9300  0.00483516 23.15588904
 9400  0.00486442 23.12968677
 9500  0.00482548 23.16459419
 9600  0.00482978 23.16072550
 9700  0.00479479 23.19230386
 9800  0.00482730 23.16295470
 9900  0.00479120 23.19556150
10000  0.00478985 23.19678143
