IterationsTotal Loss      PSNR
 100  0.00910682 20.40633449
  200  0.00420037 23.76712800
  300  0.00303301 25.18125460
  400  0.00243017 26.14362478
  500  0.00202854 26.92816852
  600  0.00182883 27.37825960
  700  0.00157898 28.01623084
  800  0.00144395 28.40447097
  900  0.00134945 28.69843780
 1000  0.00121053 29.17023605
 1100  0.00117201 29.31070246
 1200  0.00105480 29.76830346
 1300  0.00100035 29.99847272
 1400  0.00096499 30.15478850
 1500  0.00095973 30.17851751
 1600  0.00089338 30.48963062
 1700  0.00084512 30.73082183
 1800  0.00082781 30.82068000
 1900  0.00079021 31.02259762
 2000  0.00077352 31.11525999
 2100  0.00074010 31.30708912
 2200  0.00075292 31.23251785
 2300  0.00073553 31.33400536
 2400  0.00076635 31.15573072
 2500  0.00070767 31.50169567
 2600  0.00071822 31.43739874
 2700  0.00069377 31.58782901
 2800  0.00067115 31.73182179
 2900  0.00075575 31.21619068
 3000  0.00067258 31.72254928
 3100  0.00064666 31.89326208
 3200  0.00066850 31.74900813
 3300  0.00062607 32.03374136
 3400  0.00063770 31.95382427
 3500  0.00062069 32.07125557
 3600  0.00060911 32.15304456
 3700  0.00060043 32.21539282
 3800  0.00061445 32.11511938
 3900  0.00060828 32.15896020
 4000  0.00071429 31.46127177
 4100  0.00058309 32.34261294
 4200  0.00058548 32.32485345
 4300  0.00057302 32.41828023
 4400  0.00057694 32.38869073
 4500  0.00060158 32.20709104
 4600  0.00056240 32.49954589
 4700  0.00055085 32.58969698
 4800  0.00057148 32.42998871
 4900  0.00055199 32.58070432
 5000  0.00058957 32.29463534
 5100  0.00053836 32.68929901
 5200  0.00055713 32.54040361
 5300  0.00053521 32.71478931
 5400  0.00056282 32.49627334
 5500  0.00052812 32.77264925
 5600  0.00055215 32.57945878
 5700  0.00052307 32.81442480
 5800  0.00053492 32.71712959
 5900  0.00052492 32.79910579
 6000  0.00054661 32.62318946
 6100  0.00053021 32.75548471
 6200  0.00053176 32.74283620
 6300  0.00053092 32.74970384
 6400  0.00051050 32.92004720
 6500  0.00051551 32.87762499
 6600  0.00051290 32.89970637
 6700  0.00050694 32.95040900
 6800  0.00050366 32.97861186
 6900  0.00050732 32.94715878
 7000  0.00057506 32.40286621
 7100  0.00050798 32.94150664
 7200  0.00049634 33.04224299
 7300  0.00050906 32.93227529
 7400  0.00049947 33.01491372
 7500  0.00050504 32.96672082
 7600  0.00053819 32.69063721
 7700  0.00049625 33.04303618
 7800  0.00050197 32.99322735
 7900  0.00048020 33.18577709
 8000  0.00048457 33.14646242
 8100  0.00049415 33.06138120
 8200  0.00052937 32.76236717
 8300  0.00047940 33.19300071
 8400  0.00047640 33.22025713
 8500  0.00047438 33.23876590
 8600  0.00047475 33.23533129
 8700  0.00048393 33.15214834
 8800  0.00046273 33.34668750
 8900  0.00047021 33.27704989
 9000  0.00047881 33.19833715
 9100  0.00049446 33.05872634
 9200  0.00054876 32.60614899
 9300  0.00045272 33.44165537
 9400  0.00047087 33.27098536
 9500  0.00045820 33.38948653
 9600  0.00045545 33.41563508
 9700  0.00046156 33.35772474
 9800  0.00045833 33.38818074
 9900  0.00047736 33.21155065
10000  0.00044433 33.52297156
