Iterations                    Total Loss
100                             0.008029
200                             0.004365
300                             0.002792
400                             0.002485
500                             0.002056
600                             0.001803
700                             0.001595
800                             0.001437
900                             0.001304
1000                            0.001215
1100                            0.001143
1200                            0.001012
1300                            0.000956
1400                            0.000898
1500                            0.000840
1600                            0.000801
1700                            0.000798
1800                            0.000841
1900                            0.000709
2000                            0.000706
2100                            0.000689
2200                            0.000691
2300                            0.000657
2400                            0.000717
2500                            0.000600
2600                            0.000562
2700                            0.000608
2800                            0.000553
2900                            0.000555
3000                            0.000547
3100                            0.000607
3200                            0.000539
3300                            0.000547
3400                            0.000508
3500                            0.000512
3600                            0.000490
3700                            0.000501
3800                            0.000488
3900                            0.000496
4000                            0.000488
4100                            0.000464
4200                            0.000493
4300                            0.000472
4400                            0.000477
4500                            0.000455
4600                            0.000437
4700                            0.000448
4800                            0.000444
4900                            0.000435
5000                            0.000418
5100                            0.000425
5200                            0.000429
5300                            0.000416
5400                            0.000411
5500                            0.000416
5600                            0.000410
5700                            0.000422
5800                            0.000410
5900                            0.000403
6000                            0.000405
6100                            0.000399
6200                            0.000399
6300                            0.000396
6400                            0.000390
6500                            0.000398
6600                            0.000386
6700                            0.000406
6800                            0.000379
6900                            0.000381
7000                            0.000380
7100                            0.000395
7200                            0.000366
7300                            0.000369
7400                            0.000386
7500                            0.000400
7600                            0.000373
7700                            0.000355
7800                            0.000385
7900                            0.000362
8000                            0.000396
8100                            0.000357
8200                            0.000381
8300                            0.000350
8400                            0.000358
8500                            0.000367
8600                            0.000350
8700                            0.000350
8800                            0.000364
8900                            0.000387
9000                            0.000346
9100                            0.000359
9200                            0.000336
9300                            0.000334
9400                            0.000337
9500                            0.000332
9600                            0.000339
9700                            0.000343
9800                            0.000358
9900                            0.000359
10000                           0.000323
