IterationsTotal Loss      PSNR
 100  0.00847071 20.72079973
  200  0.00434385 23.62124723
  300  0.00292717 25.33551682
  400  0.00252976 25.96920336
  500  0.00206965 26.84102844
  600  0.00182363 27.39062902
  700  0.00166810 27.77777127
  800  0.00152890 28.15619538
  900  0.00142709 28.45548967
 1000  0.00126779 28.96954262
 1100  0.00113370 29.45499968
 1200  0.00111419 29.53039970
 1300  0.00104768 29.79773329
 1400  0.00096461 30.15648295
 1500  0.00095385 30.20520388
 1600  0.00087236 30.59305823
 1700  0.00083716 30.77190295
 1800  0.00083329 30.79203086
 1900  0.00084638 30.72436635
 2000  0.00076608 31.15724957
 2100  0.00077926 31.08319995
 2200  0.00072242 31.41208254
 2300  0.00075091 31.24410743
 2400  0.00074785 31.26187012
 2500  0.00068179 31.66350866
 2600  0.00068296 31.65606610
 2700  0.00065532 31.83545027
 2800  0.00069549 31.57707719
 2900  0.00064894 31.87794189
 3000  0.00064788 31.88508559
 3100  0.00062314 32.05411414
 3200  0.00060884 32.15493685
 3300  0.00059966 32.22092868
 3400  0.00069903 31.55501732
 3500  0.00062037 32.07350847
 3600  0.00059202 32.27664682
 3700  0.00058788 32.30708589
 3800  0.00058010 32.36497926
 3900  0.00058058 32.36137051
 4000  0.00055729 32.53917639
 4100  0.00055136 32.58562761
 4200  0.00054897 32.60450655
 4300  0.00054342 32.64865186
 4400  0.00051955 32.84372122
 4500  0.00054107 32.66747359
 4600  0.00055337 32.56988216
 4700  0.00051249 32.90312582
 4800  0.00058122 32.35658685
 4900  0.00052209 32.82256053
 5000  0.00050312 32.98328135
 5100  0.00049777 33.02972478
 5200  0.00050324 32.98224975
 5300  0.00051420 32.88870133
 5400  0.00049875 33.02114875
 5500  0.00051166 32.91018130
 5600  0.00049491 33.05473780
 5700  0.00051671 32.86755291
 5800  0.00048337 33.15719544
 5900  0.00049746 33.03244651
 6000  0.00050102 33.00146243
 6100  0.00048223 33.16749198
 6200  0.00047475 33.23531311
 6300  0.00049277 33.07357147
 6400  0.00046254 33.34847194
 6500  0.00047354 33.24642707
 6600  0.00047702 33.21459703
 6700  0.00046387 33.33605626
 6800  0.00046804 33.29719899
 6900  0.00046661 33.31046449
 7000  0.00045329 33.43620890
 7100  0.00046728 33.30426429
 7200  0.00044756 33.49152886
 7300  0.00047003 33.27874703
 7400  0.00044701 33.49682750
 7500  0.00045795 33.39184748
 7600  0.00044710 33.49592877
 7700  0.00044745 33.49257071
 7800  0.00045161 33.45240763
 7900  0.00044361 33.52999396
 8000  0.00043480 33.61705769
 8100  0.00045906 33.38129809
 8200  0.00043760 33.58922459
 8300  0.00047720 33.21301914
 8400  0.00044196 33.54614275
 8500  0.00042640 33.70182379
 8600  0.00044103 33.55534000
 8700  0.00042895 33.67591899
 8800  0.00046646 33.31188432
 8900  0.00042097 33.75744415
 9000  0.00043366 33.62846150
 9100  0.00041231 33.84774749
 9200  0.00043227 33.64243516
 9300  0.00043460 33.61913003
 9400  0.00041614 33.80759007
 9500  0.00042111 33.75605020
 9600  0.00042049 33.76244927
 9700  0.00042514 33.71465899
 9800  0.00041888 33.77905495
 9900  0.00040831 33.89012589
10000  0.00041431 33.82673533
