IterationsTotal Loss      PSNR
 100  0.00587532 22.30968365
  200  0.00376756 24.23939504
  300  0.00301428 25.20815805
  400  0.00266459 25.74369763
  500  0.00225503 26.46848141
  600  0.00192731 27.15049546
  700  0.00188734 27.24148915
  800  0.00170630 27.67944836
  900  0.00155368 28.08639191
 1000  0.00161237 27.92535039
 1100  0.00145679 28.36603409
 1200  0.00150450 28.22609082
 1300  0.00138307 28.59156055
 1400  0.00127086 28.95902732
 1500  0.00124573 29.04575197
 1600  0.00121005 29.17196405
 1700  0.00126066 28.99400801
 1800  0.00118649 29.25737325
 1900  0.00115642 29.36884751
 2000  0.00111572 29.52443759
 2100  0.00112329 29.49510005
 2200  0.00109627 29.60083041
 2300  0.00108934 29.62835101
 2400  0.00109821 29.59313482
 2500  0.00103683 29.84292069
 2600  0.00104377 29.81393835
 2700  0.00107757 29.67553022
 2800  0.00104223 29.82038064
 2900  0.00100850 29.96326103
 3000  0.00101020 29.95593009
 3100  0.00099131 30.03791113
 3200  0.00099344 30.02856619
 3300  0.00097914 30.09156888
 3400  0.00097629 30.10419577
 3500  0.00096778 30.14221713
 3600  0.00096133 30.17129107
 3700  0.00094240 30.25763004
 3800  0.00094510 30.24521685
 3900  0.00094847 30.22974743
 4000  0.00093581 30.28812319
 4100  0.00091746 30.37412673
 4200  0.00093181 30.30673120
 4300  0.00091315 30.39458781
 4400  0.00090176 30.44908327
 4500  0.00091868 30.36835453
 4600  0.00088459 30.53260385
 4700  0.00090900 30.41435842
 4800  0.00089150 30.49877983
 4900  0.00087864 30.56187682
 5000  0.00087272 30.59122736
 5100  0.00087317 30.58903240
 5200  0.00087015 30.60407074
 5300  0.00090212 30.44733535
 5400  0.00086062 30.65190494
 5500  0.00085208 30.69517171
 5600  0.00087359 30.58690047
 5700  0.00087937 30.55825959
 5800  0.00089778 30.46831754
 5900  0.00088856 30.51313401
 6000  0.00086488 30.63044700
 6100  0.00084350 30.73913232
 6200  0.00086684 30.62059972
 6300  0.00085048 30.70335965
 6400  0.00084629 30.72481985
 6500  0.00086231 30.64335198
 6600  0.00082301 30.84592661
 6700  0.00083548 30.78063409
 6800  0.00083802 30.76744120
 6900  0.00082540 30.83337907
 7000  0.00082885 30.81522229
 7100  0.00083767 30.76929270
 7200  0.00082472 30.83692188
 7300  0.00080026 30.96768224
 7400  0.00082637 30.82823027
 7500  0.00080894 30.92084071
 7600  0.00082761 30.82173984
 7700  0.00081859 30.86934833
 7800  0.00082620 30.82913659
 7900  0.00079957 30.97141185
 8000  0.00079891 30.97501888
 8100  0.00080694 30.93159516
 8200  0.00079576 30.99218452
 8300  0.00078234 31.06602257
 8400  0.00080010 30.96854921
 8500  0.00078550 31.04856269
 8600  0.00077826 31.08872680
 8700  0.00078265 31.06432276
 8800  0.00077919 31.08356833
 8900  0.00077383 31.11354698
 9000  0.00077796 31.09042768
 9100  0.00077697 31.09594544
 9200  0.00076330 31.17302526
 9300  0.00076289 31.17538758
 9400  0.00077167 31.12566287
 9500  0.00075898 31.19766821
 9600  0.00077085 31.13031477
 9700  0.00076715 31.15118147
 9800  0.00077473 31.10847222
 9900  0.00077635 31.09939718
10000  0.00075100 31.24361222
