Iterations                    Total Loss
100                             0.013570
200                             0.007589
300                             0.005528
400                             0.004646
500                             0.003648
600                             0.003369
700                             0.002967
800                             0.002801
900                             0.002539
1000                            0.002457
1100                            0.002301
1200                            0.002179
1300                            0.002101
1400                            0.001953
1500                            0.001895
1600                            0.001893
1700                            0.001789
1800                            0.001670
1900                            0.001637
2000                            0.001698
2100                            0.001540
2200                            0.001519
2300                            0.001482
2400                            0.001527
2500                            0.001469
2600                            0.001429
2700                            0.001400
2800                            0.001387
2900                            0.001406
3000                            0.001410
3100                            0.001325
3200                            0.001353
3300                            0.001282
3400                            0.001259
3500                            0.001250
3600                            0.001257
3700                            0.001257
3800                            0.001204
3900                            0.001277
4000                            0.001211
4100                            0.001191
4200                            0.001206
4300                            0.001166
4400                            0.001131
4500                            0.001128
4600                            0.001132
4700                            0.001107
4800                            0.001089
4900                            0.001100
5000                            0.001107
5100                            0.001092
5200                            0.001052
5300                            0.001081
5400                            0.001023
5500                            0.001025
5600                            0.001049
5700                            0.001000
5800                            0.001007
5900                            0.000992
6000                            0.001054
6100                            0.000976
6200                            0.000951
6300                            0.000930
6400                            0.001060
6500                            0.000920
6600                            0.000928
6700                            0.000927
6800                            0.000925
6900                            0.000925
7000                            0.000937
7100                            0.000886
7200                            0.000893
7300                            0.000859
7400                            0.000893
7500                            0.000864
7600                            0.000888
7700                            0.000865
7800                            0.000833
7900                            0.000854
8000                            0.000848
8100                            0.000864
8200                            0.000843
8300                            0.000824
8400                            0.000868
8500                            0.000850
8600                            0.000833
8700                            0.000831
8800                            0.000827
8900                            0.000856
9000                            0.000815
9100                            0.000827
9200                            0.000844
9300                            0.000814
9400                            0.000839
9500                            0.000783
9600                            0.000831
9700                            0.000854
9800                            0.000808
9900                            0.000825
10000                           0.000762
