Iterations                    Total Loss
100                             0.017528
200                             0.007456
300                             0.004811
400                             0.003691
500                             0.003303
600                             0.002898
700                             0.002491
800                             0.002310
900                             0.001981
1000                            0.001761
1100                            0.001679
1200                            0.001580
1300                            0.001535
1400                            0.001391
1500                            0.001338
1600                            0.001250
1700                            0.001310
1800                            0.001217
1900                            0.001193
2000                            0.001136
2100                            0.001088
2200                            0.001098
2300                            0.001052
2400                            0.001017
2500                            0.001000
2600                            0.000970
2700                            0.000951
2800                            0.000938
2900                            0.000920
3000                            0.000862
3100                            0.000866
3200                            0.000875
3300                            0.000836
3400                            0.000872
3500                            0.000801
3600                            0.000792
3700                            0.000809
3800                            0.000745
3900                            0.000755
4000                            0.000780
4100                            0.000733
4200                            0.000711
4300                            0.000735
4400                            0.000686
4500                            0.000691
4600                            0.000688
4700                            0.000705
4800                            0.000657
4900                            0.000677
5000                            0.000642
5100                            0.000657
5200                            0.000659
5300                            0.000644
5400                            0.000607
5500                            0.000620
5600                            0.000624
5700                            0.000603
5800                            0.000641
5900                            0.000614
6000                            0.000607
6100                            0.000587
6200                            0.000607
6300                            0.000595
6400                            0.000589
6500                            0.000564
6600                            0.000554
6700                            0.000558
6800                            0.000552
6900                            0.000532
7000                            0.000551
7100                            0.000559
7200                            0.000506
7300                            0.000556
7400                            0.000515
7500                            0.000519
7600                            0.000543
7700                            0.000533
7800                            0.000543
7900                            0.000503
8000                            0.000529
8100                            0.000505
8200                            0.000521
8300                            0.000522
8400                            0.000513
8500                            0.000504
8600                            0.000757
8700                            0.000480
8800                            0.000475
8900                            0.000509
9000                            0.000465
9100                            0.000476
9200                            0.000486
9300                            0.000492
9400                            0.000497
9500                            0.000457
9600                            0.000457
9700                            0.000440
9800                            0.000450
9900                            0.000459
10000                           0.000473
