IterationsTotal Loss      PSNR
 100  0.00173632 27.60370742
  200  0.00096348 30.16159358
  300  0.00062097 32.06930460
  400  0.00053196 32.74117025
  500  0.00042974 33.66790698
  600  0.00041191 33.85194854
  700  0.00060685 32.16918005
  800  0.00029272 35.33548469
  900  0.00048768 33.11866736
 1000  0.00025659 35.90756895
 1100  0.00027056 35.67732451
 1200  0.00024435 36.11981619
 1300  0.00020854 36.80818758
 1400  0.00020185 36.94981195
 1500  0.00021515 36.67264501
 1600  0.00030840 35.10892413
 1700  0.00016374 37.85843356
 1800  0.00015901 37.98571441
 1900  0.00020351 36.91407162
 2000  0.00020397 36.90440393
 2100  0.00014155 38.49090143
 2200  0.00015142 38.19815103
 2300  0.00015704 38.03983376
 2400  0.00012954 38.87600673
 2500  0.00013730 38.62341789
 2600  0.00013425 38.72100357
 2700  0.00012722 38.95457619
 2800  0.00013311 38.75775675
 2900  0.00013677 38.63997439
 3000  0.00029441 35.31051331
 3100  0.00010143 39.93840456
 3200  0.00010737 39.69114439
 3300  0.00010607 39.74421411
 3400  0.00009453 40.24413908
 3500  0.00009513 40.21693889
 3600  0.00014110 38.50469875
 3700  0.00010766 39.67938590
 3800  0.00015934 37.97681882
 3900  0.00008733 40.58856399
 4000  0.00009583 40.18487422
 4100  0.00008866 40.52292483
 4200  0.00009033 40.44151334
 4300  0.00007375 41.32231284
 4400  0.00010183 39.92128269
 4500  0.00011890 39.24811904
 4600  0.00010677 39.71542159
 4700  0.00015121 38.20405304
 4800  0.00013148 38.81146845
 4900  0.00008280 40.81945506
 5000  0.00010206 39.91128073
 5100  0.00006877 41.62588190
 5200  0.00008576 40.66693270
 5300  0.00008898 40.50697081
 5400  0.00006522 41.85636023
 5500  0.00006521 41.85716360
 5600  0.00007850 41.05103290
 5700  0.00005770 42.38819869
 5800  0.00012229 39.12604659
 5900  0.00007677 41.14829600
 6000  0.00006687 41.74778671
 6100  0.00005285 42.76975541
 6200  0.00008140 40.89357551
 6300  0.00005513 42.58608514
 6400  0.00005255 42.79408024
 6500  0.00004732 43.24970177
 6600  0.00004608 43.36530941
 6700  0.00004656 43.31960497
 6800  0.00004323 43.64230117
 6900  0.00004263 43.70327364
 7000  0.00006141 42.11782408
 7100  0.00004578 43.39345640
 7200  0.00006059 42.17583157
 7300  0.00003900 44.08975955
 7400  0.00003972 44.01014793
 7500  0.00004025 43.95280335
 7600  0.00010552 39.76670828
 7700  0.00003984 43.99693074
 7800  0.00004301 43.66465935
 7900  0.00004638 43.33649357
 8000  0.00003894 44.09606321
 8100  0.00003348 44.75245721
 8200  0.00004221 43.74578679
 8300  0.00004659 43.31738208
 8400  0.00004692 43.28597669
 8500  0.00005909 42.28460159
 8600  0.00003361 44.73526376
 8700  0.00005135 42.89482006
 8800  0.00130614 28.84010790
 8900  0.00076595 31.15801132
 9000  0.00061595 32.10453246
 9100  0.00051429 32.88795388
 9200  0.00048554 33.13776322
 9300  0.00044369 33.52918731
 9400  0.00041837 33.78442788
 9500  0.00039574 34.02592203
 9600  0.00044144 33.55131280
 9700  0.00035948 34.44325346
 9800  0.00035689 34.47461986
 9900  0.00033808 34.70983173
