IterationsTotal Loss      PSNR
 100  0.00407064 23.90336800
  200  0.00214206 26.69167900
  300  0.00144135 28.41231346
  400  0.00111224 29.53803062
  500  0.00089033 30.50451279
  600  0.00075093 31.24397850
  700  0.00070304 31.53021240
  800  0.00060018 32.21721649
  900  0.00053420 32.72292328
 1000  0.00049869 33.02169800
 1100  0.00045627 33.40781784
 1200  0.00045586 33.41163635
 1300  0.00043168 33.64833832
 1400  0.00042160 33.75101089
 1500  0.00038796 34.11209488
 1600  0.00036940 34.32497787
 1700  0.00038184 34.18122864
 1800  0.00034130 34.66863251
 1900  0.00033110 34.80035782
 2000  0.00031893 34.96299362
 2100  0.00030390 35.17268753
 2200  0.00029819 35.25501633
 2300  0.00027938 35.53799820
 2400  0.00028848 35.39886856
 2500  0.00029062 35.36668777
 2600  0.00027506 35.60574722
 2700  0.00027059 35.67686081
 2800  0.00026263 35.80650330
 2900  0.00024526 36.10381317
 3000  0.00023548 36.28040314
 3100  0.00026571 35.75596237
 3200  0.00025831 35.87866592
 3300  0.00021601 36.65535355
 3400  0.00023781 36.23766327
 3500  0.00021579 36.65978622
 3600  0.00019876 37.01663971
 3700  0.00020833 36.81239319
 3800  0.00020632 36.85449219
 3900  0.00020123 36.96316910
 4000  0.00018063 37.43219757
 4100  0.00021441 36.68760681
 4200  0.00017670 37.52751541
 4300  0.00018719 37.27715683
 4400  0.00017996 37.44835281
 4500  0.00016279 37.88384628
 4600  0.00016414 37.84782791
 4700  0.00016250 37.89149094
 4800  0.00016601 37.79863358
 4900  0.00015415 38.12063599
 5000  0.00015015 38.23461914
 5100  0.00014623 38.34957886
 5200  0.00014819 38.29175186
 5300  0.00016923 37.71532440
 5400  0.00015631 38.05999374
 5500  0.00014376 38.42369080
 5600  0.00015547 38.08351517
 5700  0.00015685 38.04528427
 5800  0.00013511 38.69320679
 5900  0.00013008 38.85777664
 6000  0.00014206 38.47515869
 6100  0.00012833 38.91669464
 6200  0.00012867 38.90516663
 6300  0.00012615 38.99107361
 6400  0.00012218 39.12995911
 6500  0.00015129 38.20185471
 6600  0.00011716 39.31219864
 6700  0.00011228 39.49701691
 6800  0.00011607 39.35268021
 6900  0.00014119 38.50197220
 7000  0.00011134 39.53359604
 7100  0.00011092 39.55004120
 7200  0.00010742 39.68896103
 7300  0.00011098 39.54774475
 7400  0.00011541 39.37757874
 7500  0.00013614 38.66019440
 7600  0.00010277 39.88131332
 7700  0.00010443 39.81156540
 7800  0.00009624 40.16645432
 7900  0.00390448 24.08436775
 8000  0.00231264 26.35892677
 8100  0.00162466 27.89238739
 8200  0.00122693 29.11180687
 8300  0.00099934 30.00284958
 8400  0.00087625 30.57373047
 8500  0.00076590 31.15826416
 8600  0.00072069 31.42251015
 8700  0.00065052 31.86740875
 8800  0.00059282 32.27077484
 8900  0.00055932 32.52337265
 9000  0.00053732 32.69768906
 9100  0.00051980 32.84167099
 9200  0.00048514 33.14130020
 9300  0.00048794 33.11637115
 9400  0.00043725 33.59270096
 9500  0.00042180 33.74898148
 9600  0.00040895 33.88330460
 9700  0.00039204 34.06669235
 9800  0.00041075 33.86425018
 9900  0.00037795 34.22569275
10000  0.00039382 34.04702377
