IterationsTotal Loss      PSNR
 100  0.00964085 20.15884533
  200  0.00456481 23.40577363
  300  0.00299717 25.23288060
  400  0.00233789 26.31176558
  500  0.00201938 26.94781352
  600  0.00181142 27.41979817
  700  0.00145999 28.35650526
  800  0.00124980 29.03160253
  900  0.00112508 29.48815566
 1000  0.00102578 29.88946889
 1100  0.00099223 30.03385816
 1200  0.00091642 30.37906597
 1300  0.00084805 30.71580270
 1400  0.00076260 31.17701514
 1500  0.00075937 31.19545872
 1600  0.00070304 31.53018240
 1700  0.00067872 31.68309115
 1800  0.00067870 31.68325262
 1900  0.00069754 31.56429483
 2000  0.00065611 31.83023771
 2100  0.00062620 32.03289826
 2200  0.00062579 32.03574193
 2300  0.00056719 32.46275162
 2400  0.00055920 32.52431179
 2500  0.00059867 32.22809478
 2600  0.00057881 32.37463520
 2700  0.00057912 32.37233304
 2800  0.00053897 32.68432896
 2900  0.00053130 32.74662375
 3000  0.00055609 32.54853683
 3100  0.00050322 32.98242607
 3200  0.00049712 33.03536069
 3300  0.00050992 32.92500505
 3400  0.00046994 33.27954087
 3500  0.00049067 33.09214184
 3600  0.00047968 33.19049255
 3700  0.00047074 33.27220208
 3800  0.00046182 33.35528123
 3900  0.00047754 33.20988158
 4000  0.00048427 33.14915749
 4100  0.00045644 33.40617581
 4200  0.00044257 33.54019099
 4300  0.00044442 33.52205951
 4400  0.00045359 33.43334240
 4500  0.00043617 33.60341247
 4600  0.00043280 33.63712243
 4700  0.00041316 33.83883652
 4800  0.00044670 33.49981987
 4900  0.00043389 33.62619342
 5000  0.00043288 33.63627785
 5100  0.00042610 33.70487198
 5200  0.00041268 33.84391178
 5300  0.00043466 33.61849378
 5400  0.00041272 33.84347998
 5500  0.00039391 34.04602999
 5600  0.00040343 33.94233031
 5700  0.00044649 33.50186318
 5800  0.00039854 33.99529339
 5900  0.00038914 34.09895097
 6000  0.00038540 34.14085792
 6100  0.00039910 33.98917721
 6200  0.00037838 34.22071837
 6300  0.00037924 34.21084102
 6400  0.00041917 33.77612500
 6500  0.00038397 34.15705773
 6600  0.00038465 34.14938645
 6700  0.00037357 34.27631707
 6800  0.00036894 34.33047237
 6900  0.00036365 34.39321816
 7000  0.00038531 34.14194515
 7100  0.00037753 34.23043267
 7200  0.00037367 34.27509357
 7300  0.00037419 34.26909161
 7400  0.00036570 34.36878829
 7500  0.00036264 34.40523745
 7600  0.00035416 34.50805947
 7700  0.00035830 34.45751693
 7800  0.00035548 34.49184150
 7900  0.00035318 34.52001923
 8000  0.00035454 34.50333884
 8100  0.00034391 34.63549124
 8200  0.00035319 34.51996814
 8300  0.00035094 34.54767888
 8400  0.00034973 34.56265032
 8500  0.00046716 33.30533981
 8600  0.00034439 34.62944020
 8700  0.00036904 34.32927456
 8800  0.00037086 34.30786878
 8900  0.00034085 34.67435771
 9000  0.00034766 34.58850598
 9100  0.00034039 34.68025573
 9200  0.00033876 34.70101898
 9300  0.00034416 34.63241328
 9400  0.00033651 34.72999006
 9500  0.00034097 34.67287897
 9600  0.00032988 34.81639604
 9700  0.00034383 34.63660350
 9800  0.00035064 34.55141386
 9900  0.00033702 34.72340123
10000  0.00033457 34.75509706
