IterationsTotal Loss      PSNR
 100  0.00871578 20.59693863
  200  0.00390916 24.07916661
  300  0.00293202 25.32833732
  400  0.00247131 26.07072036
  500  0.00197025 27.05478870
  600  0.00176796 27.52528224
  700  0.00152130 28.17785174
  800  0.00139744 28.54668266
  900  0.00129614 28.87348952
 1000  0.00111491 29.52760122
 1100  0.00105484 29.76813672
 1200  0.00100428 29.98143998
 1300  0.00099500 30.02177211
 1400  0.00089152 30.49870757
 1500  0.00085716 30.66935692
 1600  0.00079113 31.01753725
 1700  0.00075419 31.22519862
 1800  0.00075272 31.23366966
 1900  0.00071216 31.47423283
 2000  0.00072802 31.37856210
 2100  0.00069158 31.60155163
 2200  0.00064498 31.90452952
 2300  0.00061707 32.09667750
 2400  0.00059280 32.27092541
 2500  0.00058732 32.31127628
 2600  0.00057697 32.38844021
 2700  0.00054882 32.60572749
 2800  0.00054695 32.62049628
 2900  0.00052512 32.79742349
 3000  0.00052083 32.83303349
 3100  0.00051365 32.89329442
 3200  0.00052761 32.77688593
 3300  0.00052278 32.81683706
 3400  0.00050116 33.00026415
 3500  0.00052081 32.83323733
 3600  0.00047069 33.27268671
 3700  0.00047839 33.20219416
 3800  0.00049309 33.07073595
 3900  0.00045653 33.40532808
 4000  0.00050271 32.98684386
 4100  0.00050971 32.92673160
 4200  0.00045334 33.43579585
 4300  0.00044822 33.48507468
 4400  0.00043860 33.57929607
 4500  0.00045847 33.38685071
 4600  0.00046785 33.29895200
 4700  0.00043952 33.57023694
 4800  0.00046146 33.35861886
 4900  0.00047632 33.22100198
 5000  0.00041921 33.77573276
 5100  0.00042418 33.72454895
 5200  0.00042085 33.75871669
 5300  0.00041083 33.86336113
 5400  0.00048726 33.12240008
 5500  0.00042453 33.72093202
 5600  0.00040504 33.92497727
 5700  0.00042193 33.74757898
 5800  0.00040245 33.95283903
 5900  0.00039595 34.02355378
 6000  0.00039854 33.99525908
 6100  0.00041124 33.85905765
 6200  0.00039982 33.98130972
 6300  0.00038973 34.09238663
 6400  0.00037671 34.23996253
 6500  0.00037884 34.21547267
 6600  0.00038565 34.13802118
 6700  0.00039003 34.08903062
 6800  0.00038556 34.13908132
 6900  0.00037738 34.23218858
 7000  0.00036368 34.39275792
 7100  0.00037442 34.26637242
 7200  0.00037211 34.29327095
 7300  0.00036154 34.41841548
 7400  0.00037686 34.23815035
 7500  0.00043997 33.56578438
 7600  0.00038424 34.15392811
 7700  0.00038437 34.15253083
 7800  0.00036136 34.42064584
 7900  0.00044395 33.52664772
 8000  0.00035206 34.53377178
 8100  0.00036552 34.37088737
 8200  0.00035510 34.49655418
 8300  0.00036697 34.35365047
 8400  0.00039323 34.05354348
 8500  0.00034826 34.58097816
 8600  0.00036975 34.32091992
 8700  0.00034851 34.57779677
 8800  0.00034836 34.57971659
 8900  0.00034498 34.62207583
 9000  0.00036236 34.40860699
 9100  0.00034649 34.60303092
 9200  0.00054447 32.64027124
 9300  0.00035225 34.53143939
 9400  0.00035521 34.49518717
 9500  0.00034823 34.58139524
 9600  0.00033658 34.72909002
 9700  0.00034063 34.67711400
 9800  0.00035168 34.53848094
 9900  0.00034435 34.63005660
10000  0.00033605 34.73601116
