IterationsTotal Loss      PSNR
 100  0.00128347 28.91613722
  200  0.00079149 31.01553139
  300  0.00053603 32.70807388
  400  0.00062248 32.05876081
  500  0.00037379 34.27368911
  600  0.00039211 34.06595394
  700  0.00029779 35.26091988
  800  0.00028827 35.40200298
  900  0.00033798 34.71103200
 1000  0.00028695 35.42197831
 1100  0.00022494 36.47926202
 1200  0.00019031 37.20539985
 1300  0.00016002 37.95822036
 1400  0.00017740 37.51053639
 1500  0.00015883 37.99054833
 1600  0.00013628 38.65578704
 1700  0.00013121 38.82038829
 1800  0.00017769 37.50331294
 1900  0.00016572 37.80622807
 2000  0.00012120 39.16504777
 2100  0.00012077 39.18025876
 2200  0.00012667 38.97316928
 2300  0.00009800 40.08777193
 2400  0.00011238 39.49315320
 2500  0.00010816 39.65944058
 2600  0.00007872 41.03892091
 2700  0.00010982 39.59307326
 2800  0.00017344 37.60853063
 2900  0.00007451 41.27768376
 3000  0.00008299 40.80976518
 3100  0.00007237 41.40452138
 3200  0.00008970 40.47225888
 3300  0.00006430 41.91799762
 3400  0.00006808 41.66994635
 3500  0.00006139 42.11867854
 3600  0.00005800 42.36568553
 3700  0.00006794 41.67857511
 3800  0.00009946 40.02355425
 3900  0.00005458 42.62942086
 4000  0.00009792 40.09129527
 4100  0.00009941 40.02591252
 4200  0.00005660 42.47212521
 4300  0.00006053 42.18005035
 4400  0.00004845 43.14726824
 4500  0.00005659 42.47288309
 4600  0.00013312 38.75759937
 4700  0.00006393 41.94290386
 4800  0.00005448 42.63783727
 4900  0.00005317 42.74372377
 5000  0.00004974 43.03293267
 5100  0.00006913 41.60360547
 5200  0.00005812 42.35655633
 5300  0.00010590 39.75123460
 5400  0.00007700 41.13505936
 5500  0.00004502 43.46630898
 5600  0.00007902 41.02274341
 5700  0.00005005 43.00558465
 5800  0.00004133 43.83780454
 5900  0.00006887 41.61971203
 6000  0.00004825 43.16491463
 6100  0.00004591 43.38111527
 6200  0.00006156 42.10735430
 6300  0.00005206 42.83493633
 6400  0.00006095 42.15012004
 6500  0.00003810 44.19076830
 6600  0.00007539 41.22701842
 6700  0.00003566 44.47826528
 6800  0.00004252 43.71426466
 6900  0.00003683 44.33852197
 7000  0.00004070 43.90402760
 7100  0.00003904 44.08455464
 7200  0.00006670 41.75883649
 7300  0.00004196 43.77160653
 7400  0.00004248 43.71828861
 7500  0.00012207 39.13389330
 7600  0.00003363 44.73228930
 7700  0.00003893 44.09759722
 7800  0.00003651 44.37542032
 7900  0.00003424 44.65495453
 8000  0.00003571 44.47245309
 8100  0.00003397 44.68859191
 8200  0.00003022 45.19761280
 8300  0.00004059 43.91612247
 8400  0.00003771 44.23578093
 8500  0.00005267 42.78417513
 8600  0.00004484 43.48367071
 8700  0.00004430 43.53629725
 8800  0.00002817 45.50160622
 8900  0.00003295 44.82188878
 9000  0.00008564 40.67300418
 9100  0.00003062 45.13950726
 9200  0.00005197 42.84242558
 9300  0.00003343 44.75884921
 9400  0.00002755 45.59940029
 9500  0.00003845 44.15079915
 9600  0.00004677 43.30058408
 9700  0.00003491 44.57031184
 9800  0.00003001 45.22785011
 9900  0.00003853 44.14235805
10000  0.00002928 45.33404708
