IterationsTotal Loss      PSNR
 100  0.00177935 27.49738244
  200  0.00102317 29.90053451
  300  0.00073781 31.32053776
  400  0.00060956 32.14985112
  500  0.00056228 32.50045392
  600  0.00050129 32.99909279
  700  0.00047134 33.26667427
  800  0.00042952 33.67018817
  900  0.00039685 34.01374324
 1000  0.00036221 34.41040247
 1100  0.00033170 34.79256144
 1200  0.00034212 34.65823549
 1300  0.00042896 33.67584371
 1400  0.00031360 35.03624693
 1500  0.00026432 35.77875188
 1600  0.00023543 36.28134907
 1700  0.00042069 33.76038126
 1800  0.00022584 36.46204818
 1900  0.00024350 36.13505429
 2000  0.00020203 36.94575315
 2100  0.00018316 37.37177581
 2200  0.00017675 37.52632664
 2300  0.00014396 38.41769133
 2400  0.00018588 37.30775193
 2500  0.00013449 38.71294599
 2600  0.00017615 37.54128199
 2700  0.00012576 39.00460444
 2800  0.00012055 39.18818243
 2900  0.00014787 38.30131327
 3000  0.00012964 38.87261966
 3100  0.00014438 38.40487900
 3200  0.00009956 40.01927595
 3300  0.00018918 37.23122620
 3400  0.00011543 39.37687713
 3500  0.00009625 40.16579608
 3600  0.00020810 36.81731379
 3700  0.00009252 40.33744255
 3800  0.00008194 40.86491110
 3900  0.00009665 40.14816575
 4000  0.00012705 38.96021660
 4100  0.00013292 38.76395789
 4200  0.00007692 41.13976566
 4300  0.00007385 41.31624761
 4400  0.00010493 39.79088785
 4500  0.00008722 40.59373481
 4600  0.00008008 40.96486115
 4700  0.00008805 40.55270789
 4800  0.00010483 39.79514607
 4900  0.00012283 39.10692929
 5000  0.00010679 39.71478538
 5100  0.00007202 41.42548940
 5200  0.00009530 40.20893372
 5300  0.00007249 41.39717162
 5400  0.00006311 41.99898094
 5500  0.00008250 40.83551788
 5600  0.00006176 42.09307591
 5700  0.00010602 39.74619769
 5800  0.00008817 40.54661588
 5900  0.00007612 41.18514150
 6000  0.00006450 41.90450394
 6100  0.00006153 42.10948356
 6200  0.00006424 41.92211923
 6300  0.00006870 41.63011701
 6400  0.00009424 40.25766682
 6500  0.00006445 41.90753893
 6600  0.00007488 41.25639136
 6700  0.00009108 40.40577711
 6800  0.00006476 41.88699975
 6900  0.00005401 42.67535680
 7000  0.00013805 38.59952872
 7100  0.00004714 43.26610288
 7200  0.00006386 41.94764104
 7300  0.00007997 40.97093034
 7400  0.00006279 42.02088362
 7500  0.00006051 42.18202678
 7600  0.00010110 39.95265812
 7700  0.00004216 43.75123793
 7800  0.00004970 43.03612244
 7900  0.00005074 42.94665054
 8000  0.00007162 41.44942174
 8100  0.00006790 41.68150106
 8200  0.00004291 43.67415814
 8300  0.00005717 42.42867869
 8400  0.00003718 44.29716836
 8500  0.00006034 42.19417635
 8600  0.00004912 43.08718016
 8700  0.00163291 27.87038182
 8800  0.00109869 29.59126637
 8900  0.00089003 30.50595356
 9000  0.00077260 31.12043813
 9100  0.00069672 31.56943956
 9200  0.00064347 31.91473947
 9300  0.00059810 32.23229689
 9400  0.00056541 32.47633244
 9500  0.00053840 32.68894157
 9600  0.00051397 32.89061483
 9700  0.00047444 33.23821755
 9800  0.00046017 33.37078703
