IterationsTotal Loss      PSNR
 100  0.00666655 21.76099014
  200  0.00351343 24.54268646
  300  0.00238729 26.22095108
  400  0.00199030 27.01082039
  500  0.00174167 27.59034920
  600  0.00145710 28.36510658
  700  0.00137348 28.62177849
  800  0.00125159 29.02536392
  900  0.00104147 29.82352829
 1000  0.00094338 30.25313759
 1100  0.00089297 30.49162865
 1200  0.00083579 30.77902794
 1300  0.00083051 30.80654335
 1400  0.00072556 31.39327812
 1500  0.00068754 31.62701797
 1600  0.00066758 31.75498581
 1700  0.00064465 31.90672874
 1800  0.00060192 32.20462799
 1900  0.00061185 32.13354111
 2000  0.00063611 31.96470070
 2100  0.00052103 32.83139801
 2200  0.00051212 32.90625000
 2300  0.00048304 33.16020584
 2400  0.00048916 33.10550690
 2500  0.00043392 33.62593842
 2600  0.00044065 33.55909348
 2700  0.00040394 33.93679810
 2800  0.00036525 34.37410355
 2900  0.00039782 34.00317764
 3000  0.00034564 34.61380386
 3100  0.00035309 34.52114868
 3200  0.00036398 34.38919449
 3300  0.00032594 34.86858749
 3400  0.00031788 34.97739410
 3500  0.00031642 34.99741745
 3600  0.00029912 35.24153900
 3700  0.00028410 35.46525192
 3800  0.00026646 35.74360275
 3900  0.00025424 35.94763947
 4000  0.00023871 36.22131348
 4100  0.00023472 36.29454041
 4200  0.00022137 36.54885101
 4300  0.00021446 36.68659592
 4400  0.00020953 36.78747177
 4500  0.00023463 36.29613113
 4600  0.00022823 36.41626740
 4700  0.00018504 37.32726288
 4800  0.00019424 37.11662292
 4900  0.00020314 36.92196274
 5000  0.00017953 37.45870209
 5100  0.00017451 37.58183670
 5200  0.00017151 37.65706253
 5300  0.00016743 37.76169586
 5400  0.00017212 37.64174652
 5500  0.00014724 38.31986237
 5600  0.00014024 38.53123474
 5700  0.00013680 38.63900757
 5800  0.00013848 38.58604813
 5900  0.00015150 38.19597626
 6000  0.00013261 38.77436066
 6100  0.00013139 38.81421280
 6200  0.00012636 38.98383713
 6300  0.00012373 39.07508087
 6400  0.00011614 39.35009766
 6500  0.00012043 39.19248581
 6600  0.00013304 38.76003265
 6700  0.00010955 39.60379791
 6800  0.00010949 39.60641861
 6900  0.00009643 40.15780258
 7000  0.00010085 39.96324158
 7100  0.00008821 40.54497528
 7200  0.00009111 40.40411758
 7300  0.00009441 40.24968338
 7400  0.00008494 40.70877075
 7500  0.00008514 40.69857788
 7600  0.00009906 40.04083633
 7700  0.00009188 40.36790848
 7800  0.00012524 39.02250671
 7900  0.00007816 41.07006454
 8000  0.00008219 40.85166168
 8100  0.00007092 41.49230576
 8200  0.00008705 40.60240936
 8300  0.00008059 40.93693924
 8400  0.00006869 41.63129425
 8500  0.00006446 41.90718079
 8600  0.00006497 41.87269974
 8700  0.00007083 41.49764633
 8800  0.00007806 41.07587814
 8900  0.00007209 41.42144012
 9000  0.00005950 42.25504684
 9100  0.00006321 41.99246979
 9100  0.00021531 36.66928101
 9100  0.06571570 11.82330894
 9200  0.01206290 19.18548393
 9300  0.00462137 23.35229492
 9400  0.00361938 24.41365242
 9500  0.00302064 25.19900513
 9600  0.00261670 25.82245827
 9700  0.00228807 26.40531349
 9800  0.00204409 26.89499855
 9900  0.00195649 27.08521652
10000  0.00187776 27.26360703
