Iterations                    Total Loss
100                             0.014336
200                             0.006097
300                             0.004247
400                             0.003887
500                             0.003544
600                             0.002847
700                             0.002808
800                             0.002340
900                             0.002187
1000                            0.001927
1100                            0.002007
1200                            0.001758
1300                            0.001545
1400                            0.001442
1500                            0.001386
1600                            0.001356
1700                            0.001379
1800                            0.001281
1900                            0.001292
2000                            0.001159
2100                            0.001143
2200                            0.001138
2300                            0.001112
2400                            0.001090
2500                            0.001064
2600                            0.001191
2700                            0.001025
2800                            0.000991
2900                            0.001024
3000                            0.000979
3100                            0.000935
3200                            0.000944
3300                            0.000931
3400                            0.000875
3500                            0.000860
3600                            0.000841
3700                            0.000882
3800                            0.000842
3900                            0.000799
4000                            0.000861
4100                            0.000805
4200                            0.000761
4300                            0.000761
4400                            0.000811
4500                            0.000739
4600                            0.000755
4700                            0.000788
4800                            0.000692
4900                            0.000718
5000                            0.000684
5100                            0.000698
5200                            0.000691
5300                            0.000646
5400                            0.000636
5500                            0.000624
5600                            0.000698
5700                            0.000643
5800                            0.000638
5900                            0.000600
6000                            0.000617
6100                            0.000593
6200                            0.000597
6300                            0.000620
6400                            0.000614
6500                            0.000586
6600                            0.000580
6700                            0.000577
6800                            0.001251
6900                            0.000611
7000                            0.000586
7100                            0.000571
7200                            0.000555
7300                            0.000616
7400                            0.000549
7500                            0.000532
7600                            0.000520
7700                            0.000527
7800                            0.000509
7900                            0.000577
8000                            0.000578
8100                            0.000535
8200                            0.000510
8300                            0.000488
8400                            0.000475
8500                            0.000481
8600                            0.000472
8700                            0.000808
8800                            0.000470
8900                            0.000466
9000                            0.000490
9100                            0.000460
9200                            0.000458
9300                            0.000490
9400                            0.000448
9500                            0.000459
9600                            0.000504
9700                            0.000444
9800                            0.000453
9900                            0.000428
10000                           0.000449
