Iterations                    Total Loss
100                             0.018638
200                             0.012312
300                             0.011063
400                             0.009663
500                             0.009200
600                             0.008885
700                             0.008614
800                             0.008322
900                             0.008158
1000                            0.007991
1100                            0.007864
1200                            0.007789
1300                            0.007738
1400                            0.007608
1500                            0.007493
1600                            0.007485
1700                            0.007309
1800                            0.007306
1900                            0.007163
2000                            0.007132
2100                            0.007033
2200                            0.006968
2300                            0.006900
2400                            0.006864
2500                            0.006872
2600                            0.006723
2700                            0.006744
2800                            0.006703
2900                            0.006616
3000                            0.006664
3100                            0.006566
3200                            0.006508
3300                            0.006534
3400                            0.006426
3500                            0.006399
3600                            0.006469
3700                            0.006380
3800                            0.006249
3900                            0.006312
4000                            0.006280
4100                            0.006250
4200                            0.006307
4300                            0.006103
4400                            0.006096
4500                            0.006056
4600                            0.006112
4700                            0.005962
4800                            0.005951
4900                            0.005938
5000                            0.005928
5100                            0.005862
5200                            0.006016
5300                            0.005845
5400                            0.005822
5500                            0.005785
5600                            0.005780
5700                            0.005717
5800                            0.005848
5900                            0.005765
6000                            0.005707
6100                            0.005699
6200                            0.005890
6300                            0.005796
6400                            0.005589
6500                            0.005612
6600                            0.005629
6700                            0.005548
6800                            0.005449
6900                            0.005527
7000                            0.005466
7100                            0.005462
7200                            0.005462
7300                            0.005487
7400                            0.005391
7500                            0.005411
7600                            0.005364
7700                            0.005333
7800                            0.005396
7900                            0.005341
8000                            0.005387
8100                            0.005393
8200                            0.005287
8300                            0.005239
8400                            0.005257
8500                            0.005241
8600                            0.005198
8700                            0.005224
8800                            0.005140
8900                            0.005149
9000                            0.005116
9100                            0.005153
9200                            0.005130
9300                            0.005103
9400                            0.005143
9500                            0.005096
9600                            0.005071
9700                            0.005102
9800                            0.005050
9900                            0.005026
10000                           0.005012
