Iterations                    Total Loss
100                             0.011224
200                             0.005790
300                             0.004918
400                             0.003571
500                             0.003006
600                             0.002470
700                             0.002338
800                             0.002007
900                             0.001937
1000                            0.001751
1100                            0.001667
1200                            0.001543
1300                            0.001369
1400                            0.001308
1500                            0.001283
1600                            0.001167
1700                            0.001164
1800                            0.001127
1900                            0.001043
2000                            0.000998
2100                            0.000962
2200                            0.000931
2300                            0.000958
2400                            0.000862
2500                            0.000884
2600                            0.000826
2700                            0.000826
2800                            0.000781
2900                            0.000752
3000                            0.000746
3100                            0.000735
3200                            0.000746
3300                            0.000728
3400                            0.000724
3500                            0.000725
3600                            0.000666
3700                            0.000691
3800                            0.000720
3900                            0.000649
4000                            0.000657
4100                            0.000671
4200                            0.000617
4300                            0.000638
4400                            0.000596
4500                            0.000602
4600                            0.000587
4700                            0.000575
4800                            0.000565
4900                            0.000585
5000                            0.000568
5100                            0.000561
5200                            0.000557
5300                            0.000543
5400                            0.000546
5500                            0.000566
5600                            0.000550
5700                            0.000533
5800                            0.000530
5900                            0.000514
6000                            0.000516
6100                            0.000512
6200                            0.000489
6300                            0.000538
6400                            0.000505
6500                            0.000503
6600                            0.000482
6700                            0.000479
6800                            0.000484
6900                            0.000473
7000                            0.000473
7100                            0.000447
7200                            0.000457
7300                            0.000462
7400                            0.000461
7500                            0.000429
7600                            0.000431
7700                            0.000449
7800                            0.000460
7900                            0.000443
8000                            0.000475
8100                            0.000449
8200                            0.000451
8300                            0.000435
8400                            0.000448
8500                            0.000444
8600                            0.000399
8700                            0.000425
8800                            0.000433
8900                            0.000423
9000                            0.000424
9100                            0.000439
9200                            0.000421
9300                            0.000446
9400                            0.000400
9500                            0.000417
9600                            0.000381
9700                            0.000397
9800                            0.000388
9900                            0.000393
10000                           0.000443
