IterationsTotal Loss      PSNR
 100  0.01361170 18.66087597
  200  0.01014548 19.93727642
  300  0.00580569 22.36145909
  400  0.00368505 24.33556864
  500  0.00244750 26.11278232
  600  0.00180660 27.43137273
  700  0.00136294 28.65522867
  800  0.00124979 29.03164539
  900  0.00091199 30.40010360
 1000  0.00082010 30.86131126
 1100  0.00075224 31.23642141
 1200  0.00082902 30.81437333
 1300  0.00069245 31.59614573
 1400  0.00053331 32.73021102
 1500  0.00056174 32.50464199
 1600  0.00043500 33.61512579
 1700  0.00043232 33.64192912
 1800  0.00040403 33.93584467
 1900  0.00055625 32.54732776
 2000  0.00034759 34.58936160
 2100  0.00052971 32.75965100
 2200  0.00041126 33.85879839
 2300  0.00033981 34.68763712
 2400  0.00033256 34.78125950
 2500  0.00030459 35.16290313
 2600  0.00026831 35.71359939
 2700  0.00050138 32.99830030
 2800  0.00030106 35.21345859
 2900  0.00029410 35.31512352
 3000  0.00028386 35.46894419
 3100  0.00027175 35.65832429
 3200  0.00022066 36.56282645
 3300  0.00031896 34.96268165
 3400  0.00021713 36.63272201
 3500  0.00038597 34.13447253
 3600  0.00027706 35.57426793
 3700  0.00036262 34.40544862
 3800  0.00025710 35.89903593
 3900  0.00045538 33.41626156
 4000  0.00037741 34.23187588
 4100  0.00025799 35.88404593
 4200  0.00035170 34.53829651
 4300  0.00016092 37.93388250
 4400  0.00018634 37.29691345
 4500  0.00022358 36.50575829
 4600  0.00022672 36.44518574
 4700  0.00017082 37.67459323
 4800  0.00017393 37.59626737
 4900  0.00024838 36.04886988
 5000  0.00019100 37.18958462
 5100  0.00015140 38.19876958
 5200  0.00013356 38.74328012
 5300  0.00015097 38.21109881
 5400  0.00016723 37.76695186
 5500  0.00015124 38.20345811
 5600  0.00019010 37.21019227
 5700  0.00023501 36.28909542
 5800  0.00022728 36.43432965
 5900  0.00016049 37.94550837
 6000  0.00010317 39.86452171
 6100  0.00015080 38.21605192
 6200  0.00019952 37.00014272
 6300  0.00015295 38.15459272
 6400  0.00010387 39.83489098
 6500  0.00015258 38.16516435
 6600  0.00026180 35.82023535
 6700  0.00020378 36.90841377
 6800  0.00011315 39.46358437
 6900  0.00017333 37.61136714
 7000  0.00022656 36.44812895
 7100  0.00015481 38.10209269
 7200  0.00009751 40.10968458
 7300  0.00007843 41.05525565
 7400  0.00016397 37.85231949
 7500  0.00016476 37.83141569
 7600  0.00008577 40.66684842
 7700  0.00010342 39.85402366
 7800  0.00006710 41.73302326
 7900  0.00009124 40.39791767
 8000  0.00017143 37.65925316
 8100  0.00008360 40.77814006
 8200  0.00011787 39.28582865
 8300  0.00016272 37.88559561
 8400  0.00009992 40.00349740
 8500  0.00012702 38.96115319
 8600  0.00006272 42.02595337
 8700  0.00006873 41.62883967
 8800  0.00018863 37.24388768
 8900  0.00011842 39.26572117
 9000  0.00024280 36.14757216
 9100  0.00012647 38.98005774
 9200  0.00005956 42.25036072
 9300  0.00015542 38.08490520
 9400  0.00030529 35.15287599
 9500  0.00009670 40.14574262
 9600  0.00008238 40.84189671
 9700  0.00013345 38.74685507
 9800  0.00007704 41.13284955
 9900  0.00005740 42.41060525
10000  0.00015939 37.97546034
