IterationsTotal Loss      PSNR
 100  0.00529878 22.75823724
  200  0.00305294 25.15282012
  300  0.00181452 27.41237431
  400  0.00153125 28.14954789
  500  0.00136101 28.66139019
  600  0.00096246 30.16617207
  700  0.00084696 30.72138817
  800  0.00092928 30.31852917
  900  0.00100537 29.97675594
 1000  0.00056813 32.45549582
 1100  0.00057788 32.38162398
 1200  0.00050825 32.93922905
 1300  0.00041706 33.79798555
 1400  0.00084311 30.74115396
 1500  0.00033430 34.75864854
 1600  0.00031601 35.00300733
 1700  0.00050827 32.93906904
 1800  0.00030136 35.20908878
 1900  0.00040194 33.95842414
 2000  0.00031550 35.01005386
 2100  0.00027982 35.53116090
 2200  0.00031712 34.98777564
 2300  0.00059101 32.28401667
 2400  0.00019431 37.11497234
 2500  0.00027994 35.52933986
 2600  0.00016686 37.77657506
 2700  0.00016266 37.88727792
 2800  0.00016141 37.92060648
 2900  0.00014868 38.27753413
 3000  0.00021455 36.68481382
 3100  0.00021563 36.66285118
 3200  0.00017583 37.54903074
 3300  0.00015445 38.11220503
 3400  0.00022754 36.42934441
 3500  0.00013520 38.69013936
 3600  0.00011031 39.57398452
 3700  0.00013368 38.73921052
 3800  0.00010288 39.87677098
 3900  0.00012017 39.20194465
 4000  0.00011686 39.32318169
 4100  0.00018574 37.31098678
 4200  0.00013134 38.81597463
 4300  0.00009834 40.07251646
 4400  0.00020065 36.97566978
 4500  0.00012977 38.86838779
 4600  0.00013684 38.63790230
 4700  0.00015239 38.17032976
 4800  0.00014449 38.40165459
 4900  0.00011090 39.55083610
 5000  0.00010030 39.98711579
 5100  0.00008565 40.67272948
 5200  0.00007823 41.06636868
 5300  0.00018348 37.36411737
 5400  0.00007850 41.05111733
 5500  0.00008623 40.64331061
 5600  0.00009463 40.23968340
 5700  0.00010853 39.64444004
 5800  0.00009334 40.29941500
 5900  0.00006334 41.98287686
 6000  0.00007053 41.51621687
 6100  0.00008622 40.64389995
 6200  0.00013251 38.77739087
 6300  0.00006210 42.06931315
 6400  0.00013051 38.84366876
 6500  0.00008510 40.70056957
 6600  0.00006702 41.73817381
 6700  0.00007491 41.25466546
 6800  0.00012982 38.86662998
 6900  0.00006027 42.19895022
 7000  0.00008425 40.74409058
 7100  0.00006182 42.08836689
 7200  0.00007218 41.41584120
 7300  0.00006960 41.57382434
 7400  0.00005845 42.33223799
 7500  0.00006608 41.79925567
 7600  0.00006757 41.70243042
 7700  0.00019042 37.20294125
 7800  0.00010176 39.92415121
 7900  0.00004825 43.16499025
 8000  0.00007736 41.11486886
 8100  0.00006674 41.75587461
 8200  0.00005330 42.73308629
 8300  0.00004590 43.38221489
 8400  0.00005042 42.97416094
 8500  0.00004392 43.57338364
 8600  0.00005545 42.56061855
 8700  0.00013778 38.60818760
 8800  0.00004911 43.08837963
 8900  0.00003463 44.60584224
 9000  0.00004512 43.45638835
 9100  0.00003453 44.61853978
 9200  0.00007985 40.97745479
 9300  0.00006807 41.67034732
 9400  0.00012277 39.10909658
 9500  0.00007049 41.51897265
 9600  0.00005143 42.88807003
 9700  0.00004301 43.66416651
 9800  0.00004592 43.38018932
 9900  0.00004924 43.07650300
10000  0.00003399 44.68592845
