Iterations                    Total Loss
0                               0.096780
200                             0.017521
400                             0.014106
600                             0.012779
800                             0.012005
1000                            0.011430
1200                            0.011032
1400                            0.010797
1600                            0.010561
1800                            0.010440
2000                            0.010348
2200                            0.010263
2400                            0.010189
2600                            0.010060
2800                            0.010017
3000                            0.009999
3200                            0.009871
3400                            0.009817
3600                            0.009765
3800                            0.009770
4000                            0.009666
4200                            0.009682
4400                            0.009572
4600                            0.009592
4800                            0.009513
5000                            0.009470
5200                            0.009434
5400                            0.009452
5600                            0.009458
5800                            0.009357
6000                            0.009350
6200                            0.009314
6400                            0.009410
6600                            0.009252
6800                            0.009199
7000                            0.009248
7200                            0.009281
7400                            0.009233
7600                            0.009170
7800                            0.009160
8000                            0.009181
8200                            0.009107
8400                            0.009136
8600                            0.009149
8800                            0.009116
9000                            0.009057
9200                            0.009032
9400                            0.008969
9600                            0.009012
9800                            0.009019
10000                           0.008926
10200                           0.008966
10400                           0.008954
10600                           0.008952
10800                           0.008920
11000                           0.008940
11200                           0.008924
11400                           0.008904
11600                           0.008840
11800                           0.008879
12000                           0.008843
12200                           0.008963
12400                           0.008876
12600                           0.008939
12800                           0.008831
13000                           0.008874
13200                           0.008811
13400                           0.008812
13600                           0.008769
13800                           0.008712
14000                           0.008755
14200                           0.008848
14400                           0.008818
14600                           0.008721
14800                           0.008725
15000                           0.008792
15200                           0.008760
15400                           0.008747
15600                           0.008676
15800                           0.008697
16000                           0.008628
16200                           0.008715
16400                           0.008648
16600                           0.008709
16800                           0.008719
17000                           0.008625
17200                           0.008753
17400                           0.008598
17600                           0.008626
17800                           0.008738
18000                           0.008605
18200                           0.008726
18400                           0.008549
18600                           0.008664
18800                           0.008649
19000                           0.008596
19200                           0.008535
19400                           0.008576
19600                           0.008530
19800                           0.008547
